"year","obs","pred"
1961,16000,16133.6
1962,65000,66333.8
1963,136300,140201
1964,243400,251639
1965,348600,353416
1966,200800,196668
1967,120000,118522
1968,100200,99861.1
1969,72600,72437
1970,44900,44824.7
1971,77500,76865
1972,77600,76523.3
1973,56400,55672.5
1974,51000,50675.4
1975,50400,50389.5
1976,45500,45383.4
1977,21600,21578
1978,8000,8010.18
1979,8300,8320.25
1980,10800,10848.7
1981,10500,10562.7
1982,5400,5423.91
1983,2821,2832.07
1984,2752,2763.51
1985,800,803.992
1986,2200,2209.81
1987,4500,4523.84
1988,8540,8606.06
1989,11780,11894.1
1990,13090,13146.4
1991,6548.13,6564.38
1992,6537.64,6549.64
1993,2059.76,2068.56
1994,1841.23,1849.68
1995,5740.72,5759.44
1996,8378.43,8415.69
1997,9518.82,9562.26
1998,8907.93,8946.34
1999,10473.1,10528.5
2000,10145.5,10196
2001,10817.1,10870.4
2002,11733.8,11783.9
2003,10846.3,10838.6
2004,11639.9,11622.8
2005,11247.5,11229.7
2006,13595.3,13557.2
2007,12954.8,12908.2
2008,12461.2,12420.1
2009,12986.4,12902.6
2010,15615.7,15486.8
2011,14223.6,14091
2012,14916,14772.1
2013,13181.4,13103.7
2014,17712.1,17559.7
2015,18732.8,18581.4
2016,23034.5,22805.4
2017,23860.2,23720.4
2018,24737,24586.5
2019,25470.3,25340.3
2020,25191.2,25065.6
2021,28899.9,28838.5
2022,29484,29417.6
2023,29939.5,29943.3
