"age","fish1","fish2","fish3","fish4","srv1"
2,0.0005517,0.000281654,0.0000116732,0.00111739,0.0928412
3,0.00222274,0.00155658,0.000895431,0.0113213,0.143989
4,0.00891009,0.00891171,0.0089636,0.0399743,0.216588
5,0.035011,0.0368863,0.0389802,0.09167,0.312431
6,0.127718,0.117233,0.10735,0.165947,0.427541
7,0.371422,0.295812,0.221445,0.258672,0.551071
8,0.704547,0.538334,0.374219,0.363663,0.668607
9,0.905869,0.724657,0.546511,0.474063,0.76831
10,0.974898,0.842414,0.713934,0.583325,0.844973
11,0.99366,0.921504,0.854138,0.685831,0.899586
12,0.998422,0.972393,0.951702,0.777195,0.93641
13,0.999608,0.996957,0.999913,0.85435,0.960328
14,0.999903,0.997147,1,0.915487,0.975487
15,0.999976,0.976771,0.958944,0.959896,0.984947
16,0.999994,0.940947,0.886874,0.987771,0.990792
17,0.999999,0.895152,0.794762,1,0.994383
18,1,0.844435,0.692756,0.997964,0.996581
19,1,0.792951,0.589206,0.983364,0.997923
20,1,0.743769,0.490288,0.958063,0.998741
21,1,0.6989,0.400044,0.923974,0.999239
22,1,0.65944,0.320678,0.882961,0.999543
23,1,0.625771,0.25296,0.83678,0.999727
24,1,0.59777,0.196642,0.787026,0.99984
25,1,0.574991,0.150829,0.735117,0.999908
26,1,0.556817,0.114275,0.682273,0.99995
27,1,0.542562,0.0856039,0.629523,0.999975
28,1,0.531551,0.0634579,0.577709,0.999991
29,1,0.523162,0.0465863,0.5275,1
