Length	value	year	hauls_sampled
10	0	1963	27
10	0	1964	39
10	0	1965	76
10	0	1966	100
10	0	1967	84
10	0	1968	81
10	0	1969	86
10	0	1970	73
10	0	1971	77
10	0	1972	83
10	0	1973	24
10	0	1974	43
10	0	1975	42
10	0	1976	41
10	0	1977	35
11	0	1963	27
11	0	1964	39
11	0	1965	76
11	0	1966	100
11	0	1967	84
11	0	1968	81
11	0	1969	86
11	0	1970	73
11	0	1971	77
11	0	1972	83
11	0	1973	24
11	0	1974	43
11	0	1975	42
11	0	1976	41
11	0	1977	35
12	0	1963	27
12	0	1964	39
12	0	1965	76
12	0	1966	100
12	0	1967	84
12	0	1968	81
12	0	1969	86
12	0	1970	73
12	0	1971	77
12	0	1972	83
12	0	1973	24
12	0	1974	43
12	0	1975	42
12	0	1976	41
12	0	1977	35
13	0	1963	27
13	0	1964	39
13	0	1965	76
13	0	1966	100
13	0	1967	84
13	0	1968	81
13	0	1969	86
13	0	1970	73
13	0	1971	77
13	0	1972	83
13	0	1973	24
13	0	1974	43
13	0	1975	42
13	0	1976	41
13	0	1977	35
14	0	1963	27
14	0	1964	39
14	0	1965	76
14	0	1966	100
14	0	1967	84
14	0	1968	81
14	0	1969	86
14	0	1970	73
14	0	1971	77
14	0	1972	83
14	0	1973	24
14	0	1974	43
14	0	1975	42
14	0	1976	41
14	0	1977	35
15	0	1963	27
15	0	1964	39
15	0	1965	76
15	0	1966	100
15	0	1967	84
15	0	1968	81
15	0	1969	86
15	0	1970	73
15	0	1971	77
15	0	1972	83
15	0	1973	24
15	0	1974	43
15	0	1975	42
15	0	1976	41
15	0	1977	35
16	0	1963	27
16	0	1964	39
16	0	1965	76
16	0	1966	100
16	0	1967	84
16	0	1968	81
16	0	1969	86
16	0	1970	73
16	0	1971	77
16	0	1972	83
16	0	1973	24
16	0	1974	43
16	0	1975	42
16	0	1976	41
16	2	1977	35
17	0	1963	27
17	0	1964	39
17	0	1965	76
17	0	1966	100
17	0	1967	84
17	0	1968	81
17	0	1969	86
17	0	1970	73
17	0	1971	77
17	0	1972	83
17	1	1973	24
17	0	1974	43
17	0	1975	42
17	1	1976	41
17	2	1977	35
18	0	1963	27
18	0	1964	39
18	21	1965	76
18	0	1966	100
18	3	1967	84
18	0	1968	81
18	0	1969	86
18	0	1970	73
18	0	1971	77
18	0	1972	83
18	3	1973	24
18	0	1974	43
18	0	1975	42
18	2	1976	41
18	2	1977	35
19	0	1963	27
19	0	1964	39
19	28	1965	76
19	12	1966	100
19	8	1967	84
19	0	1968	81
19	0	1969	86
19	28	1970	73
19	0	1971	77
19	0	1972	83
19	4	1973	24
19	0	1974	43
19	0	1975	42
19	4	1976	41
19	3	1977	35
20	0	1963	27
20	0	1964	39
20	143	1965	76
20	75	1966	100
20	10	1967	84
20	0	1968	81
20	2	1969	86
20	78	1970	73
20	0	1971	77
20	0	1972	83
20	7	1973	24
20	2	1974	43
20	2	1975	42
20	7	1976	41
20	9	1977	35
21	3	1963	27
21	14	1964	39
21	214	1965	76
21	238	1966	100
21	42	1967	84
21	11	1968	81
21	45	1969	86
21	128	1970	73
21	26	1971	77
21	0	1972	83
21	14	1973	24
21	3	1974	43
21	9	1975	42
21	19	1976	41
21	14	1977	35
22	16	1963	27
22	16	1964	39
22	351	1965	76
22	588	1966	100
22	101	1967	84
22	29	1968	81
22	149	1969	86
22	185	1970	73
22	128	1971	77
22	0	1972	83
22	18	1973	24
22	10	1974	43
22	12	1975	42
22	56	1976	41
22	20	1977	35
23	18	1963	27
23	42	1964	39
23	352	1965	76
23	1079	1966	100
23	249	1967	84
23	133	1968	81
23	254	1969	86
23	372	1970	73
23	196	1971	77
23	275	1972	83
23	31	1973	24
23	26	1974	43
23	20	1975	42
23	138	1976	41
23	56	1977	35
24	90	1963	27
24	75	1964	39
24	891	1965	76
24	1959	1966	100
24	584	1967	84
24	349	1968	81
24	423	1969	86
24	731	1970	73
24	475	1971	77
24	1158	1972	83
24	78	1973	24
24	46	1974	43
24	51	1975	42
24	265	1976	41
24	100	1977	35
25	132	1963	27
25	95	1964	39
25	1688	1965	76
25	3058	1966	100
25	1033	1967	84
25	613	1968	81
25	632	1969	86
25	1019	1970	73
25	826	1971	77
25	2622	1972	83
25	177	1973	24
25	64	1974	43
25	94	1975	42
25	408	1976	41
25	134	1977	35
26	201	1963	27
26	243	1964	39
26	2318	1965	76
26	5049	1966	100
26	1763	1967	84
26	1034	1968	81
26	1298	1969	86
26	1631	1970	73
26	1857	1971	77
26	3682	1972	83
26	311	1973	24
26	125	1974	43
26	167	1975	42
26	581	1976	41
26	198	1977	35
27	374	1963	27
27	602	1964	39
27	4160	1965	76
27	8206	1966	100
27	2705	1967	84
27	1542	1968	81
27	2448	1969	86
27	1365	1970	73
27	3702	1971	77
27	4009	1972	83
27	509	1973	24
27	295	1974	43
27	334	1975	42
27	834	1976	41
27	314	1977	35
28	653	1963	27
28	1229	1964	39
28	6153	1965	76
28	12751	1966	100
28	4550	1967	84
28	2598	1968	81
28	4376	1969	86
28	2561	1970	73
28	5841	1971	77
28	4739	1972	83
28	690	1973	24
28	524	1974	43
28	564	1975	42
28	1167	1976	41
28	484	1977	35
29	1135	1963	27
29	2076	1964	39
29	8402	1965	76
29	17952	1966	100
29	6986	1967	84
29	4375	1968	81
29	6990	1969	86
29	3908	1970	73
29	7171	1971	77
29	6086	1972	83
29	738	1973	24
29	720	1974	43
29	837	1975	42
29	1551	1976	41
29	630	1977	35
30	1560	1963	27
30	2919	1964	39
30	11407	1965	76
30	20526	1966	100
30	9160	1967	84
30	6140	1968	81
30	8679	1969	86
30	5501	1970	73
30	7995	1971	77
30	8116	1972	83
30	818	1973	24
30	946	1974	43
30	1301	1975	42
30	2137	1976	41
30	890	1977	35
31	1575	1963	27
31	3036	1964	39
31	12844	1965	76
31	22922	1966	100
31	11512	1967	84
31	8368	1968	81
31	11567	1969	86
31	7873	1970	73
31	8589	1971	77
31	9393	1972	83
31	939	1973	24
31	1136	1974	43
31	1849	1975	42
31	2624	1976	41
31	1306	1977	35
32	1130	1963	27
32	2384	1964	39
