Length	value	year	hauls_sampled
32	11166	1965	76
32	19863	1966	100
32	11596	1967	84
32	9945	1968	81
32	12854	1969	86
32	6964	1970	73
32	8471	1971	77
32	10202	1972	83
32	978	1973	24
32	1415	1974	43
32	2299	1975	42
32	2766	1976	41
32	1710	1977	35
33	825	1963	27
33	2003	1964	39
33	8715	1965	76
33	14521	1966	100
33	11175	1967	84
33	10573	1968	81
33	13309	1969	86
33	6499	1970	73
33	7781	1971	77
33	10528	1972	83
33	931	1973	24
33	2026	1974	43
33	2784	1975	42
33	2827	1976	41
33	2026	1977	35
34	934	1963	27
34	2289	1964	39
34	6765	1965	76
34	11077	1966	100
34	10412	1967	84
34	11700	1968	81
34	12583	1969	86
34	6409	1970	73
34	6827	1971	77
34	8978	1972	83
34	797	1973	24
34	2767	1974	43
34	3143	1975	42
34	2724	1976	41
34	2131	1977	35
35	814	1963	27
35	2271	1964	39
35	5413	1965	76
35	7790	1966	100
35	9207	1967	84
35	11276	1968	81
35	10574	1969	86
35	5989	1970	73
35	6923	1971	77
35	7920	1972	83
35	644	1973	24
35	3598	1974	43
35	3337	1975	42
35	2510	1976	41
35	2165	1977	35
36	696	1963	27
36	1673	1964	39
36	4258	1965	76
36	5539	1966	100
36	8681	1967	84
36	10990	1968	81
36	10025	1969	86
36	8034	1970	73
36	7484	1971	77
36	8113	1972	83
36	520	1973	24
36	4170	1974	43
36	3415	1975	42
36	2289	1976	41
36	2109	1977	35
37	575	1963	27
37	1279	1964	39
37	3055	1965	76
37	3765	1966	100
37	7650	1967	84
37	9714	1968	81
37	8331	1969	86
37	8629	1970	73
37	7333	1971	77
37	7537	1972	83
37	440	1973	24
37	4098	1974	43
37	3127	1975	42
37	1862	1976	41
37	1826	1977	35
38	399	1963	27
38	976	1964	39
38	2119	1965	76
38	2452	1966	100
38	6237	1967	84
38	7777	1968	81
38	6170	1969	86
38	7096	1970	73
38	6553	1971	77
38	6508	1972	83
38	350	1973	24
38	3379	1974	43
38	2484	1975	42
38	1281	1976	41
38	1392	1977	35
39	282	1963	27
39	595	1964	39
39	1094	1965	76
39	1193	1966	100
39	4728	1967	84
39	5092	1968	81
39	3888	1969	86
39	5232	1970	73
39	3982	1971	77
39	4662	1972	83
39	226	1973	24
39	2138	1974	43
39	1627	1975	42
39	763	1976	41
39	911	1977	35
40	160	1963	27
40	335	1964	39
40	660	1965	76
40	652	1966	100
40	3093	1967	84
40	2557	1968	81
40	2047	1969	86
40	3158	1970	73
40	2207	1971	77
40	3137	1972	83
40	126	1973	24
40	1050	1974	43
40	880	1975	42
40	411	1976	41
40	524	1977	35
41	60	1963	27
41	131	1964	39
41	341	1965	76
41	363	1966	100
41	1857	1967	84
41	1279	1968	81
41	1000	1969	86
41	1771	1970	73
41	1077	1971	77
41	1887	1972	83
41	64	1973	24
41	434	1974	43
41	398	1975	42
41	197	1976	41
41	248	1977	35
42	26	1963	27
42	35	1964	39
42	140	1965	76
42	171	1966	100
42	1040	1967	84
42	607	1968	81
42	407	1969	86
42	902	1970	73
42	483	1971	77
42	952	1972	83
42	40	1973	24
42	140	1974	43
42	144	1975	42
42	79	1976	41
42	100	1977	35
43	4	1963	27
43	12	1964	39
43	80	1965	76
43	49	1966	100
43	521	1967	84
43	286	1968	81
43	211	1969	86
43	603	1970	73
43	169	1971	77
43	476	1972	83
43	24	1973	24
43	49	1974	43
43	72	1975	42
43	29	1976	41
43	50	1977	35
44	8	1963	27
44	7	1964	39
44	22	1965	76
44	28	1966	100
44	260	1967	84
44	152	1968	81
44	130	1969	86
44	325	1970	73
44	91	1971	77
44	206	1972	83
44	8	1973	24
44	22	1974	43
44	45	1975	42
44	6	1976	41
44	23	1977	35
45	0	1963	27
45	3	1964	39
45	0	1965	76
45	13	1966	100
45	102	1967	84
45	103	1968	81
45	80	1969	86
45	146	1970	73
45	17	1971	77
45	78	1972	83
45	1	1973	24
45	9	1974	43
45	31	1975	42
45	3	1976	41
45	9	1977	35
46	4	1963	27
46	3	1964	39
46	0	1965	76
46	0	1966	100
46	27	1967	84
46	3	1968	81
46	47	1969	86
46	9	1970	73
46	0	1971	77
46	0	1972	83
46	0	1973	24
46	3	1974	43
46	29	1975	42
46	1	1976	41
46	2	1977	35
47	1	1963	27
47	2	1964	39
47	0	1965	76
47	0	1966	100
47	18	1967	84
47	3	1968	81
47	8	1969	86
47	2	1970	73
47	0	1971	77
47	0	1972	83
47	0	1973	24
47	5	1974	43
47	23	1975	42
47	1	1976	41
47	1	1977	35
48	6	1963	27
48	0	1964	39
48	0	1965	76
48	0	1966	100
48	15	1967	84
48	0	1968	81
48	6	1969	86
48	2	1970	73
48	0	1971	77
48	0	1972	83
48	0	1973	24
48	23	1974	43
48	11	1975	42
48	0	1976	41
48	0	1977	35
49	6	1963	27
49	2	1964	39
49	0	1965	76
49	0	1966	100
49	22	1967	84
49	0	1968	81
49	4	1969	86
49	0	1970	73
49	0	1971	77
49	0	1972	83
49	0	1973	24
49	40	1974	43
49	7	1975	42
49	0	1976	41
49	0	1977	35
50	5	1963	27
50	0	1964	39
50	0	1965	76
50	0	1966	100
50	19	1967	84
50	0	1968	81
50	0	1969	86
50	0	1970	73
50	0	1971	77
50	0	1972	83
50	0	1973	24
50	27	1974	43
50	3	1975	42
50	0	1976	41
50	0	1977	35
51	0	1963	27
51	0	1964	39
51	0	1965	76
51	0	1966	100
51	0	1967	84
51	0	1968	81
51	0	1969	86
51	0	1970	73
51	0	1971	77
51	0	1972	83
51	0	1973	24
51	6	1974	43
51	0	1975	42
51	0	1976	41
51	0	1977	35
52	0	1963	27
52	0	1964	39
52	0	1965	76
52	0	1966	100
52	0	1967	84
52	0	1968	81
52	0	1969	86
52	0	1970	73
52	0	1971	77
52	0	1972	83
52	0	1973	24
52	1	1974	43
52	0	1975	42
52	0	1976	41
52	0	1977	35
53	0	1963	27
53	0	1964	39
53	0	1965	76
53	0	1966	100
53	0	1967	84
53	0	1968	81
53	0	1969	86
53	0	1970	73
53	0	1971	77
53	0	1972	83
53	0	1973	24
53	1	1974	43
53	0	1975	42
53	0	1976	41
53	0	1977	35
54	0	1963	27
54	0	1964	39
54	0	1965	76
54	0	1966	100
54	0	1967	84
54	0	1968	81
54	0	1969	86
54	0	1970	73
54	0	1971	77
54	0	1972	83
54	0	1973	24
54	0	1974	43
54	0	1975	42
54	0	1976	41
54	0	1977	35
55	0	1963	27
55	0	1964	39
55	0	1965	76
55	0	1966	100
55	0	1967	84
55	0	1968	81
55	0	1969	86
55	0	1970	73
55	0	1971	77
55	0	1972	83
55	0	1973	24
55	0	1974	43
55	0	1975	42
55	0	1976	41
55	0	1977	35
56	0	1963	27
56	0	1964	39
56	0	1965	76
56	0	1966	100
56	0	1967	84
56	0	1968	81
56	0	1969	86
56	0	1970	73
56	0	1971	77
56	0	1972	83
56	0	1973	24
56	0	1974	43
56	0	1975	42
56	0	1976	41
56	0	1977	35
57	0	1963	27
57	0	1964	39
57	0	1965	76
57	0	1966	100
57	0	1967	84
57	0	1968	81
57	0	1969	86
57	0	1970	73
57	0	1971	77
57	0	1972	83
57	0	1973	24
57	0	1974	43
57	0	1975	42
57	0	1976	41
57	0	1977	35
58	0	1963	27
58	0	1964	39
58	0	1965	76
58	0	1966	100
58	0	1967	84
58	0	1968	81
58	0	1969	86
58	0	1970	73
58	0	1971	77
58	0	1972	83
58	0	1973	24
58	0	1974	43
58	0	1975	42
58	0	1976	41
58	0	1977	35
59	0	1963	27
59	0	1964	39
59	0	1965	76
59	0	1966	100
59	0	1967	84
59	0	1968	81
59	0	1969	86
59	0	1970	73
59	0	1971	77
59	0	1972	83
59	0	1973	24
59	0	1974	43
59	0	1975	42
59	0	1976	41
59	0	1977	35
60	0	1963	27
60	0	1964	39
60	0	1965	76
60	0	1966	100
60	0	1967	84
60	0	1968	81
60	0	1969	86
60	0	1970	73
60	0	1971	77
60	0	1972	83
60	0	1973	24
60	0	1974	43
60	0	1975	42
60	0	1976	41
60	0	1977	35
