"age","fish1","fish2","fish3","fish4","srv1"
2,0.000599498,0.00030869,0.0000179504,0.00155103,0.12425
3,0.00236488,0.00175703,0.0011535,0.0149105,0.193702
4,0.00928063,0.00988489,0.0105286,0.0508226,0.289156
5,0.0356968,0.0393783,0.0432218,0.113307,0.407855
6,0.127618,0.120855,0.114521,0.200186,0.538376
7,0.366322,0.297748,0.230035,0.30529,0.663841
8,0.695536,0.537895,0.381684,0.420625,0.769787
9,0.900275,0.724423,0.550635,0.538025,0.849893
10,0.972733,0.841968,0.713879,0.650218,0.905546
11,0.992957,0.920242,0.850717,0.7514,0.941975
12,0.998208,0.970812,0.946966,0.837434,0.964899
13,0.999546,0.996105,0.996398,0.905817,0.97897
14,0.999885,0.998069,1,0.955482,0.987474
15,0.999971,0.980184,0.96401,0.98654,0.992566
16,0.999993,0.947125,0.897621,1,0.995598
17,0.999998,0.903942,0.810924,0.9975,0.997398
18,1,0.855365,0.713405,0.981069,0.998463
19,1,0.805365,0.613027,0.95293,0.999094
20,1,0.756954,0.515841,0.915342,0.999467
21,1,0.712187,0.42597,0.870489,0.999687
22,1,0.672269,0.345834,0.8204,0.999817
23,1,0.637723,0.276482,0.766893,0.999894
24,1,0.608571,0.217958,0.711551,0.999939
25,1,0.584497,0.169631,0.655715,0.999966
26,1,0.564991,0.130472,0.600489,0.999982
27,1,0.549448,0.0992682,0.546749,0.999991
28,1,0.537246,0.0747726,0.49517,0.999997
29,1,0.527795,0.0557995,0.446243,1
