"weight","value","variable","model"
50,0.859878,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.03"
1,14.8962,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.03"
1,22.9676,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.03"
1,26.0558,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.03"
1,75.5386,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.03"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.03"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.03"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.03"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.03"
1,39.8966,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.03"
0.1,4.25304,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.03"
1,3.25934,"Priors SigmaR","2023-09-27-Mprofile_M=0.03"
1,2.66599,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.03"
1,0,"Priors M","2023-09-27-Mprofile_M=0.03"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.03"
1,103.516,"Maturity Likelihood","2023-09-27-Mprofile_M=0.03"
1,293.909,"Objective Function","2023-09-27-Mprofile_M=0.03"
1,140.318,"Data Likelihood","2023-09-27-Mprofile_M=0.03"
