"year","obs","pred"
1961,16000,16022.7
1962,65000,64993.3
1963,136300,136270
1964,243400,243378
1965,348600,347886
1966,200800,199935
1967,120000,119629
1968,100200,99977.2
1969,72600,72493.7
1970,44900,44874.9
1971,77500,77359.6
1972,77600,77439.2
1973,56400,56314.8
1974,51000,50943.9
1975,50400,50356.3
1976,45500,45468.1
1977,21600,21601
1978,8000,8015.14
1979,8300,8314.85
1980,10800,10814
1981,10500,10514.1
1982,5400,5413.68
1983,2821,2831.52
1984,2752,2762.36
1985,800,804.905
1986,2200,2209.16
1987,4500,4513
1988,8540,8556.58
1989,11780,11799.2
1990,13090,13105.6
1991,6548.13,6563.06
1992,6537.64,6553.21
1993,2059.76,2069.21
1994,1841.23,1850.37
1995,5740.72,5757.22
1996,8378.43,8389.05
1997,9518.82,9529.44
1998,8907.93,8919.37
1999,10473.1,10483.6
2000,10145.5,10156.6
2001,10817.1,10827.9
2002,11733.8,11744.5
2003,10846.3,10850.6
2004,11639.9,11642.5
2005,11247.5,11249.2
2006,13595.3,13591
2007,12954.8,12932.4
2008,12461.2,12440.9
2009,12986.4,12958.8
2010,15615.7,15569.8
2011,14223.6,14181.6
2012,14916,14866.1
2013,13181.4,13147.2
2014,17712.1,17640.1
2015,18732.8,18655.6
2016,23034.5,22911.3
2017,23860.2,23749.3
2018,24737,24614.9
2019,25470.3,25362.7
2020,25191.2,25086.4
2021,28899.9,28797
2022,29484,29387.5
2023,29939.5,29868.1
