"age","fish1","fish2","fish3","fish4","srv1"
2,0.000131585,0.0000662776,0.000000970917,0.0000197643,0.00545111
3,0.000677541,0.000390087,0.000102673,0.000424537,0.00735137
4,0.00348083,0.00239445,0.00130856,0.00237285,0.00990783
5,0.0176774,0.0123438,0.00701298,0.00764271,0.013342
6,0.084845,0.0541083,0.0233807,0.0181994,0.0179461
7,0.323244,0.190477,0.0577317,0.0358014,0.0241023
8,0.711045,0.413437,0.115874,0.0617291,0.0323047
9,0.926887,0.563328,0.199845,0.0966438,0.0431819
10,0.98492,0.645887,0.306971,0.140557,0.0575159
11,0.997037,0.71361,0.430349,0.192877,0.0762502
12,0.999423,0.779766,0.560325,0.252514,0.100473
13,0.999888,0.842991,0.686358,0.317996,0.131361
14,0.999978,0.899202,0.798733,0.387611,0.170057
15,0.999996,0.944729,0.889806,0.459525,0.217474
16,0.999999,0.977147,0.954662,0.531896,0.274028
17,1,0.995426,0.991233,0.602963,0.339347
18,1,0.999808,1,0.67112,0.412043
19,1,0.991536,0.98345,0.734962,0.489688
20,1,0.972534,0.945432,0.793318,0.56906
21,1,0.945092,0.890528,0.845264,0.646638
22,1,0.911597,0.82351,0.890122,0.719209
23,1,0.874319,0.748926,0.927456,0.784365
24,1,0.835278,0.670815,0.957047,0.84074
25,1,0.796159,0.592546,0.978877,0.88798
26,1,0.758282,0.516763,0.993096,0.926512
27,1,0.722612,0.445395,1,0.957258
28,1,0.68979,0.379727,1,0.981362
29,1,0.660182,0.320488,0.993597,1
