"weight","value","variable","model"
50,0.023084,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.27"
1,33.15,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.27"
1,38.6011,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.27"
1,56.0848,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.27"
1,63.26,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.27"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.27"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.27"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.27"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.27"
1,-71.5103,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.27"
0.1,7.35457,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.27"
1,32.3318,"Priors SigmaR","2023-09-25-Mprofile_M=0.27"
1,0.37539,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.27"
1,0,"Priors M","2023-09-25-Mprofile_M=0.27"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.27"
1,103.632,"Maturity Likelihood","2023-09-25-Mprofile_M=0.27"
1,266.835,"Objective Function","2023-09-25-Mprofile_M=0.27"
1,191.119,"Data Likelihood","2023-09-25-Mprofile_M=0.27"
