"year","obs","pred"
1961,16000,16243.5
1962,65000,67229.9
1963,136300,142335
1964,243400,257468
1965,348600,358984
1966,200800,195174
1967,120000,117718
1968,100200,99446.4
1969,72600,72178.3
1970,44900,44713.5
1971,77500,76212.2
1972,77600,75585
1973,56400,55072.3
1974,51000,50378.9
1975,50400,50303
1976,45500,45233.6
1977,21600,21547
1978,8000,8010.55
1979,8300,8321.9
1980,10800,10853.2
1981,10500,10569
1982,5400,5426.19
1983,2821,2832.77
1984,2752,2764.09
1985,800,804.068
1986,2200,2210.13
1987,4500,4524.84
1988,8540,8608.83
1989,11780,11898
1990,13090,13111.8
1991,6548,6557.78
1992,6538,6546.36
1993,2060,2068.52
1994,1841,1849.36
1995,5741,5758.26
1996,8378,8409.15
1997,9519,9555.27
1998,8908,8940.75
1999,10473,10520.2
2000,10146,10189
2001,10817,10869.3
2002,11734,11784
2003,10846,10836.9
2004,11640,11621.4
2005,11248,11228
2006,13595,13554
2007,12955,12903.8
2008,12461,12415.5
2009,12986,12898.5
2010,15616,15481.8
2011,14224,14090.5
2012,14916,14771
2013,13181,13106.6
2014,17712,17565.9
2015,18733,18596.7
2016,23034,22826.3
2017,23860,23749.1
2018,24737,24611
2019,25470,25391.6
2020,25191,25107.6
2021,28187,28190.5
