"year","obs","pred"
1961,16000,16090.3
1962,65000,65885.3
1963,136300,138819
1964,243400,248137
1965,348600,350113
1966,200800,196982
1967,120000,118541
1968,100200,99710.2
1969,72600,72416.6
1970,44900,44839.4
1971,77500,77092.4
1972,77600,76922.2
1973,56400,55961.7
1974,51000,50873.1
1975,50400,50520.2
1976,45500,45582
1977,21600,21619.4
1978,8000,8013.3
1979,8300,8318.92
1980,10800,10835.8
1981,10500,10543
1982,5400,5419.43
1983,2821,2831.76
1984,2752,2763.07
1985,800,804.356
1986,2200,2209.75
1987,4500,4520.9
1988,8540,8593.05
1989,11780,11871.5
1990,13090,13148.1
1991,6548.13,6568.39
1992,6537.64,6555.42
1993,2059.76,2068.65
1994,1841.23,1849.85
1995,5740.72,5757.63
1996,8378.43,8401.1
1997,9518.82,9544.82
1998,8907.93,8932.96
1999,10473.1,10505.9
2000,10145.5,10177.6
2001,10817.1,10850.8
2002,11733.8,11766.8
2003,10846.3,10842
2004,11639.9,11629.6
2005,11247.5,11235
2006,13595.3,13567.1
2007,12954.8,12916.7
2008,12461.2,12426.1
2009,12986.4,12922.3
2010,15615.7,15511.4
2011,14223.6,14120.4
2012,14916,14799.5
2013,13181.4,13114.3
2014,17712.1,17574.3
2015,18732.8,18597
2016,23034.5,22821.3
2017,23860.2,23713.2
2018,24737,24576.3
2019,25470.3,25348.5
2020,25191.2,25072.5
2021,28899.9,28833
2022,29484,29417.8
2023,29939.5,29933.5
