"weight","value","variable","model"
50,0.131765,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.11"
1,19.6095,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.11"
1,26.1412,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.11"
1,29.3491,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.11"
1,66.115,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.11"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.11"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.11"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.11"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.11"
1,-10.4596,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.11"
0.1,7.54027,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.11"
1,12.6694,"Priors SigmaR","2023-09-25-Mprofile_M=0.11"
1,0.00349203,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.11"
1,0,"Priors M","2023-09-25-Mprofile_M=0.11"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.11"
1,103.516,"Maturity Likelihood","2023-09-25-Mprofile_M=0.11"
1,254.616,"Objective Function","2023-09-25-Mprofile_M=0.11"
1,141.347,"Data Likelihood","2023-09-25-Mprofile_M=0.11"
