"year","obs","pred"
1961,16000,16253.2
1962,65000,67784
1963,136300,144711
1964,243400,263914
1965,348600,374273
1966,200800,201590
1967,120000,120084
1968,100200,100774
1969,72600,72882
1970,44900,45014.8
1971,77500,77356
1972,77600,76919
1973,56400,55804.7
1974,51000,50754.7
1975,50400,50310.1
1976,45500,45071.6
1977,21600,21449.5
1978,8000,7989.2
1979,8300,8291.95
1980,10800,10788.3
1981,10500,10493.8
1982,5400,5401.07
1983,2821,2823.82
1984,2752,2754.66
1985,800,802.808
1986,2200,2203.01
1987,4500,4497.01
1988,8540,8511.68
1989,11780,11717.9
1990,13090,12889.7
1991,6548.13,6503.51
1992,6537.64,6493.98
1993,2059.76,2068.05
1994,1841.23,1848.86
1995,5740.72,5757.58
1996,8378.43,8444.38
1997,9518.82,9589.22
1998,8907.93,8959.4
1999,10473.1,10553.7
2000,10145.5,10205.1
2001,10817.1,10877.3
2002,11733.8,11773.1
2003,10846.3,10783.6
2004,11639.9,11555.4
2005,11247.5,11181
2006,13595.3,13489.7
2007,12954.8,12850.5
2008,12461.2,12374.9
2009,12986.4,12819.3
2010,15615.7,15383.1
2011,14223.6,13979.6
2012,14916,14666.1
2013,13181.4,13050
2014,17712.1,17480.5
2015,18732.8,18488.2
2016,23034.5,22691.4
2017,23860.2,23669.3
2018,24737,24536.5
2019,25470.3,25229.5
2020,25191.2,24964.8
2021,28899.9,28777.5
2022,29484,29349.7
2023,29939.5,29936.2
