"weight","value","variable","model"
50,1.03092,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.01"
1,14.2059,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.01"
1,21.722,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.01"
1,21.4328,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.01"
1,77.285,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.01"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.01"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.01"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.01"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.01"
1,90.1485,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.01"
0.1,3.65774,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.01"
1,0.00301892,"Priors SigmaR","2023-09-25-Mprofile_M=0.01"
1,3.87488,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.01"
1,0,"Priors M","2023-09-25-Mprofile_M=0.01"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.01"
1,103.516,"Maturity Likelihood","2023-09-25-Mprofile_M=0.01"
1,336.877,"Objective Function","2023-09-25-Mprofile_M=0.01"
1,135.677,"Data Likelihood","2023-09-25-Mprofile_M=0.01"
