"age","fish1","fish2","fish3","fish4","srv1"
2,0.000247168,0.000128164,0.00000916835,0.000774357,0.0725692
3,0.00118344,0.00095975,0.00073683,0.00795013,0.109581
4,0.00564623,0.00662215,0.00760598,0.028591,0.16217
5,0.026492,0.0301718,0.0338869,0.0669209,0.233382
6,0.115371,0.105271,0.09527,0.123791,0.323781
7,0.384622,0.292294,0.200174,0.19732,0.429576
8,0.749711,0.546686,0.344018,0.283818,0.542223
9,0.934876,0.72235,0.510355,0.378667,0.650716
10,0.985673,0.830817,0.676663,0.477017,0.745567
11,0.996976,0.908602,0.821081,0.5743,0.821723
12,0.999368,0.962896,0.927388,0.666542,0.878796
13,0.999868,0.993045,0.987247,0.750541,0.919397
14,0.999972,0.999467,1,0.823921,0.947222
15,0.999994,0.984957,0.970929,0.885112,0.965807
16,0.999999,0.953989,0.908924,0.933277,0.978007
17,1,0.911705,0.824266,0.968208,0.985926
18,1,0.863078,0.726911,0.990214,0.991028
19,1,0.812374,0.625397,1,0.994299
20,1,0.762889,0.526325,0.998564,0.99639
21,1,0.716908,0.434268,0.987095,0.997725
22,1,0.675802,0.35197,0.966892,0.998575
23,1,0.640197,0.280686,0.939294,0.999116
24,1,0.610166,0.220561,0.905629,0.999461
25,1,0.585407,0.170991,0.867167,0.99968
26,1,0.565397,0.130929,0.825093,0.999819
27,1,0.549506,0.0991145,0.78049,0.999908
28,1,0.537083,0.0742423,0.734324,0.999964
29,1,0.527506,0.0550697,0.687439,1
