"","Age","SS","Lbar","SD_Lbar"
"1",1,37,9.76205052373568,1.03835528103081
"2",2,330,14.6085183030414,1.87105127512467
"3",3,1011,19.3767132973406,1.68421129129938
"4",4,887,22.8793959881844,2.26196798306364
"5",5,1196,25.9742557738902,2.33566534760779
"6",6,900,28.6178916861765,2.81829578897933
"7",7,1010,31.1008092782946,2.81172461054282
"8",8,810,33.331723383685,2.52018261497409
"9",9,1004,34.6730194266327,2.2106447914844
"10",10,736,35.3867836561502,2.04603261227619
"11",11,598,36.0611224032589,2.07059826100637
"12",12,505,36.7544903261906,2.1064732475164
"13",13,398,37.3969576820413,2.05836162773615
"14",14,421,37.80982838884,2.07265630843037
"15",15,306,38.2793747529713,1.99905910892336
"16",16,253,38.5272081919131,2.05338918151783
"17",17,275,38.9845304239789,2.05599161190896
"18",18,249,39.1958946886585,2.20577476916769
"19",19,184,39.2349850492409,2.12580990785473
"20",20,202,39.4580825743024,2.27245875776875
"21",21,188,39.6064844865863,2.03745813524431
"22",22,160,39.9970859893297,1.985850540053
"23",23,105,39.8838508513257,1.99822132631459
"24",24,143,40.0239277401699,2.12209828177557
"25",25,127,40.2983410216059,2.02808170773197
"26",26,125,40.7684453661069,2.23951494404455
"27",27,91,40.5626005569235,1.9614091105228
"28",28,75,40.802145110199,2.00946398104749
"29",29,44,40.5293446261802,2.23151089920587
"30",30,66,41.2901747492379,2.33869521990481
"31",31,49,40.8632695167066,1.95461209836153
"32",32,42,40.9600661111019,2.57279983402401
"33",33,24,40.729941660884,2.7179971836346
"34",34,28,41.4796696250979,1.9982824358533
"35",35,22,41.4972300608358,2.39567982512694
"36",36,16,41.2198661207564,2.47391590027425
"37",37,23,41.3573213755136,2.01975702046589
"38",38,19,40.7332019734302,2.3315323613659
"39",39,27,42.4104302058819,2.06551321356306
"40",40,20,41.5519329449133,2.29602467418373
"41",41,16,42.2309739262639,2.80685813255732
"42",42,15,42.0219094442818,2.10843720303732
"43",43,11,41.053044038564,2.17905584893183
"44",44,10,41.6053878886154,1.77374698143387
"45",45,14,42.664122328879,2.59588097431617
"46",46,14,41.6304617398677,2.26961824877115
"47",47,9,41.9232313286413,2.64018009800758
"48",48,21,40.8368063493172,2.70825407268895
"49",49,8,38.9609742278053,1.64396631314725
"50",50,12,42.4022432655431,2.2310486972761
"51",51,21,42.2224331845979,2.79725025466914
"52",52,14,41.1625805110935,2.63646327060547
"53",53,9,40.2899461625898,2.2825897456477
"54",54,4,42.7203159133636,1.54360854249843
"55",55,8,40.8214837061367,2.19568529842793
"56",56,8,41.3671728031456,1.30899445371789
"57",57,6,42.5128897979944,2.83062463762282
"58",58,8,39.9356306425905,1.62469538675556
"59",59,5,40.527084104737,1.22550635376986
"60",60,6,40.4268790371874,1.79868075077942
"61",61,8,41.7368148543622,1.30513110110922
"62",62,2,42.1446020333593,1.83286427318699
"63",63,5,39.648881330026,2.3665722689035
"64",64,2,43.983820047356,2.88832979725606
"65",65,2,42.7778673657215,0.989903506343175
"66",66,2,37.5439320881321,1.51138891790767
"67",67,2,40.4700828859762,0.503621034258566
"68",69,4,40.6894703255693,2.05935405894697
"69",70,3,39.7193195804427,1.28840288095421
"70",71,7,40.9678069345742,1.83706775165908
"71",72,3,39.4449023402053,2.12636849100429
"72",74,2,41.4374447370789,0.501458399797137
"73",75,6,41.3805722116124,1.81769987256544
