"","YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
"131",2018,2018-07-11,301,"GOA",27171.99
"132",2018,2018-07-12,301,"GOA",9079.35
"133",2018,2018-07-12,301,"GOA",10711.83
"134",2018,2018-06-28,301,"GOA",5220.67
"135",2018,2018-06-28,301,"GOA",241.99
"136",2018,2018-07-13,301,"GOA",44009.88
"137",2018,2018-07-13,301,"GOA",1115.05
"138",2018,2018-07-13,301,"GOA",4265.43
"139",2018,2018-07-14,301,"GOA",3089.02
"140",2018,2018-07-14,301,"GOA",16417.42
"141",2018,2018-07-14,301,"GOA",299.28
"142",2018,2018-07-14,301,"GOA",6986.16
"143",2018,2018-07-01,301,"GOA",4804.98
"144",2018,2018-07-01,301,"GOA",20
"145",2018,2018-07-01,301,"GOA",2514.17
"146",2018,2018-07-01,301,"GOA",1.42
"147",2018,2018-07-01,301,"GOA",14252.12
"148",2018,2018-07-01,301,"GOA",17046.31
"149",2018,2018-07-02,301,"GOA",2889.89
"150",2018,2018-07-02,301,"GOA",1540.93
"151",2018,2018-07-02,301,"GOA",43.81
"152",2018,2018-07-02,301,"GOA",48.93
"153",2018,2018-07-03,301,"GOA",865.5
"154",2018,2018-07-03,301,"GOA",3021.45
"155",2018,2018-07-03,301,"GOA",2047.77
"156",2018,2018-07-03,301,"GOA",3628.3
"157",2018,2018-07-04,301,"GOA",537.49
"158",2018,2018-07-04,301,"GOA",241.34
"159",2018,2018-07-04,301,"GOA",4982.17
"160",2018,2018-07-04,301,"GOA",7897.88
"161",2018,2018-07-04,301,"GOA",17676.08
"162",2018,2018-07-04,301,"GOA",337.54
"163",2018,2018-07-05,301,"GOA",9180.02
"164",2018,2018-07-12,301,"GOA",25655.68
"165",2018,2018-07-12,301,"GOA",20739.66
"166",2018,2018-07-12,301,"GOA",14386.4
"167",2018,2018-07-12,301,"GOA",51809.63
"168",2018,2018-06-22,301,"GOA",106.85
"169",2018,2018-06-22,301,"GOA",14304.61
"170",2018,2018-07-05,301,"GOA",15275.95
"171",2018,2018-07-05,301,"GOA",9977.93
"172",2018,2018-10-23,301,"GOA",9.86
"173",2018,2018-10-24,301,"GOA",1733.8
"174",2018,2018-10-24,301,"GOA",1408.38
"175",2018,2018-07-10,301,"GOA",12677.14
"176",2018,2018-07-10,301,"GOA",15164.57
"177",2018,2018-07-11,301,"GOA",131.36
"178",2018,2018-07-11,301,"GOA",3881.62
"179",2018,2018-07-11,301,"GOA",6589.49
"180",2018,2018-07-11,301,"GOA",12825.63
"181",2018,2018-07-11,301,"GOA",75.1
"182",2018,2018-10-07,301,"GOA",120.21
"183",2018,2018-10-07,301,"GOA",94.14
"184",2018,2018-10-08,301,"GOA",1271.3
"185",2018,2018-10-08,301,"GOA",3205.29
"186",2018,2018-07-11,301,"GOA",229.53
"187",2018,2018-07-11,301,"GOA",13554.01
"188",2018,2018-07-12,301,"GOA",1203.54
"189",2018,2018-07-12,301,"GOA",12657.23
"190",2018,2018-07-12,301,"GOA",22962.5
"191",2018,2018-07-12,301,"GOA",1288.33
"192",2018,2018-07-12,301,"GOA",605.76
"193",2018,2018-07-13,301,"GOA",10352.03
"194",2018,2018-07-13,301,"GOA",2901.27
"195",2018,2018-07-13,301,"GOA",1775.77
"196",2018,2018-07-13,301,"GOA",739.24
"197",2018,2018-07-13,301,"GOA",15878.73
"198",2018,2018-07-13,301,"GOA",2147.99
"199",2018,2018-07-13,301,"GOA",3878.37
"200",2018,2018-07-14,301,"GOA",4602.19
"201",2018,2018-07-14,301,"GOA",3989.55
"202",2018,2018-07-14,301,"GOA",2390.04
"203",2018,2018-07-14,301,"GOA",927.75
"204",2018,2018-10-31,301,"GOA",8609.54
"205",2018,2018-10-31,301,"GOA",6609.49
"206",2018,2018-10-31,301,"GOA",10929.09
"207",2018,2018-06-27,301,"GOA",536.28
"208",2018,2018-06-27,301,"GOA",615.36
"209",2018,2018-06-27,301,"GOA",80.76
"210",2018,2018-10-08,301,"GOA",739.41
"211",2018,2018-10-08,301,"GOA",1484.05
"212",2018,2018-07-06,301,"GOA",133.45
"213",2018,2018-07-06,301,"GOA",4608.21
"214",2018,2018-07-06,301,"GOA",601
"215",2018,2018-09-06,301,"GOA",8.52
"216",2018,2018-09-06,301,"GOA",19501.81
"217",2018,2018-10-13,301,"GOA",98.92
"218",2018,2018-08-25,301,"GOA",6427.85
"219",2018,2018-08-25,301,"GOA",512.75
"220",2018,2018-08-28,301,"GOA",2628.1
"221",2018,2018-08-28,301,"GOA",766.38
"222",2018,2018-08-29,301,"GOA",1129.79
"223",2018,2018-09-01,301,"GOA",7233.52
"224",2018,2018-07-06,301,"GOA",1775.49
"225",2018,2018-09-01,301,"GOA",3916.81
"226",2018,2018-09-03,301,"GOA",1415.7
"227",2018,2018-06-22,301,"GOA",1928.23
"228",2018,2018-06-22,301,"GOA",1180.39
"229",2018,2018-06-23,301,"GOA",64.69
"230",2018,2018-06-23,301,"GOA",256.61
"231",2018,2018-06-23,301,"GOA",71.29
"232",2018,2018-06-23,301,"GOA",341.94
"233",2018,2018-06-23,301,"GOA",2965.8
"234",2018,2018-06-24,301,"GOA",3673.32
"235",2018,2018-06-24,301,"GOA",759.08
"236",2018,2018-06-24,301,"GOA",1533.21
"237",2018,2018-06-24,301,"GOA",3664.16
"238",2018,2018-06-25,301,"GOA",302.67
"239",2018,2018-06-25,301,"GOA",176.94
"240",2018,2018-06-26,301,"GOA",4004.36
"241",2018,2018-06-26,301,"GOA",2810.74
"242",2018,2018-06-26,301,"GOA",149.61
"243",2018,2018-06-26,301,"GOA",137.08
"244",2018,2018-07-06,301,"GOA",8654.76
"245",2018,2018-07-06,301,"GOA",636.27
"246",2018,2018-07-07,301,"GOA",223.12
"247",2018,2018-07-07,301,"GOA",387.74
"248",2018,2018-07-09,301,"GOA",290.83
"249",2018,2018-07-09,301,"GOA",744.41
"250",2018,2018-07-09,301,"GOA",1812.17
"251",2018,2018-07-09,301,"GOA",3047.23
"252",2018,2018-07-09,301,"GOA",7921.56
"253",2018,2018-07-10,301,"GOA",6463.32
"254",2018,2018-07-10,301,"GOA",4080.12
"255",2018,2018-06-27,301,"GOA",139.59
"256",2018,2018-06-27,301,"GOA",2260.56
"257",2018,2018-06-25,301,"GOA",9155.09
