length,Wbar,SD_Wbar
80,6,1.632993161855452
90,9.0625,1.3400870618483463
100,11.130434782608695,1.9141660378748129
110,16.214285714285715,2.607048771446997
120,21.818181818181817,2.0150945537631877
130,27.347826086956523,3.871361467691511
140,34.5,3.840072114707463
150,43.44444444444444,4.73636005556627
160,52.68627450980392,5.582824424747892
170,62.388429752066116,6.941868025282588
180,76.625,7.870832230456955
190,89.88047808764941,8.492918071576925
200,104.6654411764706,10.438107013890372
210,119.94094488188976,11.818140101864833
220,138.3595041322314,12.982868242529747
230,159.0316205533597,13.4397165260244
240,181.76223776223776,15.576166247663439
250,207.40604026845637,18.108712965802795
260,231.55131964809385,19.715054855599295
270,261.90851735015775,21.677319054772155
280,293.580204778157,25.400043494981723
290,329.5194805194805,27.733661335365834
300,366.72168284789643,32.123648322916445
310,406.39811912225707,33.849855256022735
320,452.4135338345865,40.18002100213354
330,495.59638554216866,38.5072538436517
340,542.7402135231317,41.64231169502343
350,587.9549689440994,43.97549321229922
360,632.3619456366238,47.58833480972681
370,682.5238095238095,50.35267061359896
380,731.8854024556616,56.58011358979151
390,788.0758017492711,56.29100689617709
400,847.424543946932,66.66217849059741
410,912.480651731161,72.07230731718917
420,976.3434903047091,84.50975300720911
430,1046.7450199203188,93.46202825265243
440,1117.7565789473683,94.26691684817082
450,1204.6770833333333,111.78659130510258
460,1269.2093023255813,106.42760967851628
470,1328.3333333333333,116.6427718801472
480,1476.7894736842106,151.7382903947775
490,1552.6666666666667,54.12331598611945
500,1685.5,9.192388155425117
520,2044,296.98484809834997
