length,Wbar,SD_Wbar
21,0.16499999999999998,0.021213203435596427
22,0.16,0.043588989435406726
23,0.22230769230769232,0.047811059765470953
24,0.23333333333333334,0.05087119801890641
25,0.24625,0.11475906437899736
26,0.322,0.24459633770981248
27,0.30083333333333334,0.06358265190433948
28,0.3204444444444444,0.06660451648470707
29,0.35596153846153844,0.07854709129259914
30,0.4069318181818182,0.08562626563602525
31,0.43475728155339805,0.09034622576613069
32,0.47525974025974027,0.09717713798181814
33,0.5158796296296296,0.10280333155334431
34,0.5575555555555556,0.08151847354396675
35,0.593125,0.11198691769285085
36,0.6362567567567567,0.11848120510192128
37,0.6838636363636363,0.12713730735671336
38,0.7326521239954076,0.1401746594967282
39,0.7769407008086253,0.12931332916464242
40,0.8291718426501036,0.11280531403071645
41,0.89668896321070235,0.13945991309692543
42,1.0192261904761906,0.23860120569237642
43,1.0629333333333333,0.20605544604995726
44,1.0946875,0.18508906966560024
45,1.096875,0.4129361330762906
46,1.0546153846153845,0.48596322536819225
47,0.8225,0.28640006983239374
48,1.06,0.40472212689696124
49,0.938,0.3983340306827926
