"weight","value","variable","model"
50,0.16249,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.09"
1,17.7477,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.09"
1,25.502,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.09"
1,30.9661,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.09"
1,64.9282,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.09"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.09"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.09"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.09"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.09"
1,3.68341,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.09"
0.1,6.71684,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.09"
1,9.40509,"Priors SigmaR","2023-09-27-Mprofile_M=0.09"
1,0.133021,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.09"
1,0,"Priors M","2023-09-27-Mprofile_M=0.09"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.09"
1,103.516,"Maturity Likelihood","2023-09-27-Mprofile_M=0.09"
1,262.761,"Objective Function","2023-09-27-Mprofile_M=0.09"
1,139.307,"Data Likelihood","2023-09-27-Mprofile_M=0.09"
