"age","fish1","fish2","fish3","fish4","srv1"
2,0.000299334,0.000155203,0.0000111131,0.000959879,0.0843607
3,0.00138506,0.00111892,0.000855971,0.0097792,0.130041
4,0.0063837,0.00747768,0.0086038,0.0347998,0.195183
5,0.0289002,0.0331646,0.0375693,0.0805047,0.282367
6,0.121153,0.112327,0.103889,0.14709,0.38964
7,0.38971,0.302046,0.215186,0.231486,0.508776
8,0.747343,0.555557,0.365135,0.32865,0.626924
9,0.931981,0.732706,0.535433,0.432713,0.731645
10,0.984489,0.842099,0.702333,0.537849,0.81562
11,0.99661,0.918583,0.843707,0.638843,0.877711
12,0.999266,0.969839,0.943938,0.731423,0.920923
13,0.999842,0.995973,0.995826,0.812393,0.949743
14,0.999966,0.998115,1,0.879625,0.968423
15,0.999993,0.979638,0.96288,0.931977,0.980307
16,0.999998,0.945413,0.894168,0.969149,0.987778
17,1,0.90079,0.804587,0.991523,0.99244
18,1,0.850783,0.704197,1,0.995336
19,1,0.799574,0.601395,0.995848,0.997129
20,1,0.750304,0.502485,0.980569,0.998237
21,1,0.70507,0.411678,0.95578,0.998921
22,1,0.66506,0.331358,0.923131,0.999344
23,1,0.630738,0.262458,0.884227,0.999604
24,1,0.602048,0.204862,0.840582,0.999765
25,1,0.578595,0.157779,0.793582,0.999864
26,1,0.559791,0.120031,0.744465,0.999925
27,1,0.544974,0.0902846,0.694311,0.999963
28,1,0.533476,0.0672023,0.64404,0.999986
29,1,0.524676,0.0495376,0.594418,1
