"year","obs","pred"
1961,16000,16021.6
1962,65000,64957.8
1963,136300,136130
1964,243400,243028
1965,348600,347536
1966,200800,199972
1967,120000,119652
1968,100200,99981.4
1969,72600,72494.5
1970,44900,44876.9
1971,77500,77363.9
1972,77600,77448
1973,56400,56323.4
1974,51000,50947.5
1975,50400,50355.8
1976,45500,45467.2
1977,21600,21600
1978,8000,8014.9
1979,8300,8314.55
1980,10800,10813.3
1981,10500,10513.4
1982,5400,5413.43
1983,2821,2831.46
1984,2752,2762.3
1985,800,804.91
1986,2200,2209.12
1987,4500,4512.65
1988,8540,8555.04
1989,11780,11796
1990,13090,13102.9
1991,6548.13,6562.54
1992,6537.64,6552.81
1993,2059.76,2069.24
1994,1841.23,1850.41
1995,5740.72,5757.29
1996,8378.43,8387.45
1997,9518.82,9527.59
1998,8907.93,8917.56
1999,10473.1,10481.5
2000,10145.5,10154.4
2001,10817.1,10825.6
2002,11733.8,11741.6
2003,10846.3,10849.8
2004,11639.9,11641.7
2005,11247.5,11248.9
2006,13595.3,13591.2
2007,12954.8,12936.2
2008,12461.2,12444.7
2009,12986.4,12964.3
2010,15615.7,15578.1
2011,14223.6,14189.7
2012,14916,14875.7
2013,13181.4,13153.7
2014,17712.1,17652.2
2015,18732.8,18667.6
2016,23034.5,22930.1
2017,23860.2,23763.2
2018,24737,24630.3
2019,25470.3,25373.6
2020,25191.2,25097
2021,28899.9,28802.4
2022,29484,29391.2
2023,29939.5,29866.1
