"weight","value","variable","model"
50,0.0203374,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.29"
1,33.9732,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.29"
1,43.2895,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.29"
1,57.6296,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.29"
1,62.6909,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.29"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.29"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.29"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.29"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.29"
1,-73.7076,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.29"
0.1,7.24143,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.29"
1,33.2067,"Priors SigmaR","2023-09-25-Mprofile_M=0.29"
1,0.316005,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.29"
1,0,"Priors M","2023-09-25-Mprofile_M=0.29"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.29"
1,103.757,"Maturity Likelihood","2023-09-25-Mprofile_M=0.29"
1,274.187,"Objective Function","2023-09-25-Mprofile_M=0.29"
1,197.604,"Data Likelihood","2023-09-25-Mprofile_M=0.29"
