"age","fish1","fish2","fish3","fish4","srv1"
2,0.000143395,0.0000720546,0.0000007144,0.0000119006,0.0032497
3,0.000699138,0.000387543,0.0000760223,0.000302259,0.00440858
4,0.00340138,0.00219115,0.000981864,0.00185275,0.00597846
5,0.016377,0.0108598,0.00534783,0.00634582,0.00810317
6,0.0751205,0.0466255,0.0181482,0.0158,0.0109753
7,0.283783,0.164699,0.0456588,0.0321532,0.0148514
8,0.659041,0.376195,0.093439,0.056929,0.020071
9,0.904116,0.534176,0.164394,0.0910321,0.0270785
10,0.978723,0.618085,0.257696,0.134666,0.0364489
11,0.995563,0.681998,0.36879,0.187354,0.0489121
12,0.999087,0.744451,0.49029,0.248028,0.0653716
13,0.999813,0.806283,0.613348,0.315158,0.0869055
14,0.999962,0.864167,0.729078,0.386902,0.114735
15,0.999992,0.914469,0.82975,0.461252,0.150138
16,0.999998,0.954343,0.909569,0.536164,0.194279
17,1,0.982049,0.965034,0.609674,0.247958
18,1,0.996979,0.994922,0.679984,0.311291
19,1,0.999516,1,0.745523,0.383398
20,1,0.990816,0.982584,0.804989,0.46224
21,1,0.97256,0.946037,0.857364,0.544722
22,1,0.946711,0.894287,0.901923,0.627122
23,1,0.915306,0.831417,0.938213,0.70573
24,1,0.880299,0.761335,0.96604,0.777492
25,1,0.843446,0.687557,0.985436,0.840418
26,1,0.806238,0.61307,0.996626,0.893676
27,1,0.769875,0.540273,1,0.937419
28,1,0.735262,0.470981,0.996072,0.972469
29,1,0.703035,0.406465,0.985452,1
