"age","srv1","maturity"
2,44.3,0.00548861
3,98.3,0.0108756
4,166.7,0.0214357
5,242.5,0.0418163
6,320,0.0799904
7,395,0.147644
8,464.9,0.256559
9,528.2,0.407417
10,584.5,0.578013
11,633.8,0.731824
12,676.3,0.844641
13,712.7,0.915479
14,743.6,0.955711
15,769.7,0.977268
16,791.7,0.988459
17,810,0.994174
18,825.4,0.997067
19,838.1,0.998526
20,848.7,0.999259
21,857.5,0.999628
22,864.7,0.999813
23,870.8,0.999906
24,875.7,0.999953
25,879.8,0.999976
26,883.2,0.999988
27,886,0.999994
28,888.3,0.999997
29,894.6,0.999999
