"weight","value","variable","model"
50,0.125698,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.11"
1,19.7975,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.11"
1,26.102,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.11"
1,33.9384,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.11"
1,64.1703,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.11"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.11"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.11"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.11"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.11"
1,-5.53809,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.11"
0.1,7.2774,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.11"
1,11.4784,"Priors SigmaR","2023-09-27-Mprofile_M=0.11"
1,0.00340888,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.11"
1,0,"Priors M","2023-09-27-Mprofile_M=0.11"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.11"
1,103.516,"Maturity Likelihood","2023-09-27-Mprofile_M=0.11"
1,260.871,"Objective Function","2023-09-27-Mprofile_M=0.11"
1,144.134,"Data Likelihood","2023-09-27-Mprofile_M=0.11"
