"age","fish1","fish2","fish3","fish4","srv1"
2,0.000504778,0.000259797,0.0000148868,0.00131111,0.106555
3,0.00207133,0.00155081,0.00103525,0.0129688,0.164878
4,0.00845841,0.00912774,0.00984413,0.0450441,0.246324
5,0.0338721,0.037562,0.0414501,0.101925,0.351089
6,0.125943,0.118551,0.111692,0.182372,0.472478
7,0.371936,0.298893,0.226933,0.28128,0.597213
8,0.708782,0.543211,0.379454,0.39157,0.710524
9,0.909114,0.728321,0.550157,0.505711,0.802501
10,0.976253,0.844085,0.715336,0.616756,0.870579
11,0.994116,0.921785,0.853533,0.718949,0.917601
12,0.998562,0.972031,0.95004,0.807985,0.94855
13,0.99965,0.996676,0.998474,0.881043,0.968278
14,0.999915,0.997567,1,0.936657,0.980597
15,0.999979,0.978318,0.961251,0.974512,0.988193
16,0.999995,0.943809,0.891887,0.995205,0.992838
17,0.999999,0.899293,0.802422,1,0.995665
18,1,0.849646,0.702651,0.990612,0.997381
19,1,0.79892,0.600711,0.969016,0.99842
20,1,0.750147,0.502697,0.937291,0.999049
21,1,0.705354,0.412681,0.897501,0.99943
22,1,0.665689,0.332969,0.85161,0.999659
23,1,0.631603,0.264469,0.801419,0.999798
24,1,0.603044,0.207078,0.748533,0.999882
25,1,0.579634,0.160033,0.694341,0.999933
26,1,0.560807,0.122198,0.640014,0.999964
27,1,0.54592,0.0922808,0.586511,0.999982
28,1,0.534324,0.068978,0.534593,0.999993
29,1,0.525414,0.0510725,0.484844,1
