"weight","value","variable","model"
50,0.432541,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.05"
1,15.053,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.05"
1,24.1473,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.05"
1,23.6547,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.05"
1,70.2794,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.05"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.05"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.05"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.05"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.05"
1,21.016,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.05"
0.1,5.10511,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.05"
1,6.0665,"Priors SigmaR","2023-09-25-Mprofile_M=0.05"
1,1.55837,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.05"
1,0,"Priors M","2023-09-25-Mprofile_M=0.05"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.05"
1,103.516,"Maturity Likelihood","2023-09-25-Mprofile_M=0.05"
1,270.829,"Objective Function","2023-09-25-Mprofile_M=0.05"
1,133.567,"Data Likelihood","2023-09-25-Mprofile_M=0.05"
