"year","obs","pred"
1961,16000,16175.7
1962,65000,66788.5
1963,136300,141493
1964,243400,255694
1965,348600,361316
1966,200800,199026
1967,120000,119128
1968,100200,100029
1969,72600,72459.3
1970,44900,44822.9
1971,77500,76788.2
1972,77600,76420.1
1973,56400,55585.3
1974,51000,50562.9
1975,50400,50228.7
1976,45500,45156.1
1977,21600,21518.5
1978,8000,8003.52
1979,8300,8314.59
1980,10800,10842.5
1981,10500,10560.6
1982,5400,5423.45
1983,2821,2831.57
1984,2752,2763.01
1985,800,803.777
1986,2200,2209.29
1987,4500,4522.53
1988,8540,8601.83
1989,11780,11884.8
1990,13090,13112.2
1991,6548.13,6554.2
1992,6537.64,6538.81
1993,2059.76,2068.41
1994,1841.23,1849.45
1995,5740.72,5759.38
1996,8378.43,8425.23
1997,9518.82,9572.61
1998,8907.93,8953.12
1999,10473.1,10540.7
2000,10145.5,10204.3
2001,10817.1,10878.5
2002,11733.8,11788
2003,10846.3,10824.5
2004,11639.9,11604.5
2005,11247.5,11214.2
2006,13595.3,13534.3
2007,12954.8,12885.2
2008,12461.2,12400.6
2009,12986.4,12869.3
2010,15615.7,15443
2011,14223.6,14045.6
2012,14916,14726.8
2013,13181.4,13078
2014,17712.1,17519
2015,18732.8,18537.4
2016,23034.5,22747.7
2017,23860.2,23686.4
2018,24737,24552.1
2019,25470.3,25296.4
2020,25191.2,25024.5
2021,28899.9,28815.9
2022,29484,29392.3
2023,29939.5,29940.9
