"year","obs","pred"
1961,16000,16022.3
1962,65000,64990.1
1963,136300,136261
1964,243400,243377
1965,348600,347939
1966,200800,199963
1967,120000,119641
1968,100200,99986.9
1969,72600,72498
1970,44900,44877.1
1971,77500,77365.7
1972,77600,77443.3
1973,56400,56318.5
1974,51000,50947
1975,50400,50359.5
1976,45500,45470.7
1977,21600,21601.1
1978,8000,8014.64
1979,8300,8314.42
1980,10800,10813.6
1981,10500,10514
1982,5400,5413.28
1983,2821,2831.26
1984,2752,2762.16
1985,800,804.833
1986,2200,2209.03
1987,4500,4512.9
1988,8540,8556.81
1989,11780,11800.1
1990,13090,13103.5
1991,6548.13,6562.8
1992,6537.64,6553.37
1993,2059.76,2069.37
1994,1841.23,1850.54
1995,5740.72,5757.76
1996,8378.43,8389.87
1997,9518.82,9530.36
1998,8907.93,8920.1
1999,10473.1,10484.6
2000,10145.5,10157.3
2001,10817.1,10828.6
2002,11733.8,11744.8
2003,10846.3,10850.8
2004,11639.9,11642.5
2005,11247.5,11249.3
2006,13595.3,13591.2
2007,12954.8,12933.5
2008,12461.2,12441.7
2009,12986.4,12959.6
2010,15615.7,15570.2
2011,14223.6,14182.2
2012,14916,14866.6
2013,13181.4,13147.7
2014,17712.1,17640.2
2015,18732.8,18656
2016,23034.5,22911
2017,23860.2,23749
2018,24737,24614.1
2019,25470.3,25363.1
2020,25191.2,25086.3
2021,28899.9,28797.6
2022,29484,29388.2
2023,30380.7,30308.5
