"","Year","n_s","n_h","SA_Index","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",1984,24063,231,2,0.00104257798240769,0.00113581104977745,0.00163585690073461,0.00231131627742347,0.00275623418508147,0.0037346474189205,0.0081569133711217,0.0167757546022976,0.0250625243346648,0.0246045465921489,0.0176863531961184,0.0128069479899775,0.0146567717351754,0.0226758491645088,0.032859829041229,0.0467582103761319,0.0824134209399351,0.128116542483649,0.145322529648924,0.140814431202439,0.0924196712610966,0.0567524151977208,0.04100883788833,0.0287377226990811,0.0218240091051882,0.0125334463121276,0.00793982846428021,0.00435999262799128,0.00163410486705991,0.00146290308445807
"2",1987,18086,153,2,0.00528834885654561,0.00711474387257914,0.0142899374041614,0.027069364099434,0.0284204275738044,0.0213830769390943,0.0207610908198749,0.0226699285831762,0.0246082391665861,0.0275203997896065,0.0284337980458934,0.0302107048957709,0.0315560029647949,0.0369882086690364,0.0403888333819332,0.0357670218903413,0.0502972496630886,0.0750655075063591,0.0729505235749623,0.0721308354609163,0.0861571213459415,0.064845313229236,0.0494539327341321,0.0371393455624662,0.0230540800480987,0.018406381589097,0.014167400235189,0.0152458475586762,0.0102036904325633,0.00841264410664121
"3",1990,14195,169,2,0.000687054999134757,0.00199536289744812,0.00477708243505141,0.0135833696519004,0.0120205769598347,0.0143564605376332,0.0203325041555869,0.0292469347217697,0.0512996171693514,0.0655592370613106,0.0696935496456527,0.0502696475255215,0.0471805972292435,0.047738582438719,0.0366865970688671,0.0338420056436656,0.0329700982936863,0.0403408144676548,0.0473858493482579,0.0553454615993213,0.0465860833158196,0.0548369452690659,0.0455113241950756,0.0455453121048662,0.0482450208079231,0.04225626045137,0.022168815253922,0.00815743988865653,0.00437263652279118,0.00700875834089895
"4",1993,17357,219,2,0.00211800292950825,0.00117744061533353,0.00177664567459607,0.00433510452725829,0.00698584123847972,0.0084511433887799,0.00686293056115714,0.00418867693150868,0.00503709869461205,0.00819412786051831,0.016491102642807,0.0234007273854534,0.0276574221104275,0.0303433553077065,0.0440701932403073,0.065154415633502,0.0892779922665942,0.0964202568450502,0.0962384520954958,0.100907677532165,0.0893210827287527,0.0732033456434033,0.0554755072306322,0.0442211796855446,0.0317220248643216,0.0205351935851358,0.0194071884832424,0.0143876241957218,0.00804496495507612,0.00459328114690854
"5",1996,21564,315,2,0.00338784799110541,0.000599602161628129,0.00101735779265354,0.00242483360857387,0.00292645416019965,0.00415205341346184,0.0066513997982427,0.008968189434894,0.00946596507174878,0.013558475471115,0.0125404959337465,0.0208494224997266,0.0283740294713131,0.0233819177802744,0.0197515471431364,0.0154082106402524,0.0198910622741081,0.0432358717973631,0.0831754381786056,0.11963616187585,0.143576532220086,0.136062319586384,0.0938580699963219,0.0719212013800077,0.0486733337082957,0.0271276058284869,0.0160529639680123,0.0112079987967308,0.00653542817536629,0.00558820984230877
"6",1999,12124,309,2,0.00149281917309706,0.00160784205381333,0.00192038197240684,0.0032184278838037,0.0048034103908284,0.0102495289866798,0.0174307412794054,0.019777707849697,0.0169099033650742,0.0174048309721079,0.0128163062948417,0.0146394978574647,0.0117588091574644,0.0137956319463258,0.00740634298609861,0.022597991989433,0.026077307603774,0.0462266697684474,0.0797830084402961,0.0774504610070414,0.121015389108793,0.118160390848933,0.111557374418731,0.100538087198002,0.0506166320017332,0.0457711116574455,0.0261544237273155,0.0125206654488742,0.00394393142250792,0.00235437318956353
"7",2001,8801,179,2,0.00187867902950463,0.0057235619072113,0.0186623576752443,0.0182124498867612,0.00892710486649928,0.00881320366765009,0.00674431656051258,0.00571060100485552,0.00418106469474493,0.0045024046659858,0.00547260071082901,0.0072585776713712,0.0125420893897293,0.0257387174693181,0.0572663287328578,0.109940798786566,0.0755694973175266,0.0855164426073916,0.0746300786541641,0.0648107429331275,0.0522642948675292,0.0654644791322658,0.090943969242867,0.0842962571587273,0.0621161483929611,0.0252663814195903,0.011660603276463,0.00325446218066509,0.00182919633423932,0.000802589762840882
"8",2003,17967,313,2,0.00480930391115824,0.00321017419528338,0.00778043921748012,0.0139091503783797,0.0168975692944109,0.0125041076312747,0.0250933160814929,0.0200788254332929,0.0180230985152503,0.0130666178801159,0.0161968342918424,0.024494630684683,0.0216182165155787,0.0190472828157248,0.0212885846739983,0.0208075544848958,0.0291488908316144,0.0487764139364153,0.0644239777591323,0.0869285742967207,0.0997724025803492,0.0978237073808204,0.0861342588907486,0.0726599772660186,0.058667462475798,0.0411681191082664,0.0226743777002128,0.0150304488913311,0.00848923981806207,0.0094764430596481
"9",2005,26375,378,2,0.00117702753076853,0.00246016197234883,0.00715187999683019,0.0113360602686896,0.0132677871161712,0.0128919766167515,0.0160242064305085,0.0166913843017221,0.0191059858275751,0.0207517526753961,0.0197822950229149,0.023843654213846,0.0238588728388778,0.0280691990559615,0.0271633117615468,0.0396894248193173,0.0459860491036552,0.0617351818502193,0.0745201770425078,0.0707451938602888,0.0886983052847667,0.0793286892354226,0.082189470160949,0.0753128368124,0.0612614795004506,0.0402451905460088,0.0212070798009862,0.00814489285716328,0.00466440307891162,0.00269607041704398
