survey_definition_id,area_id,year,species_code,sex,age,population_count,length_mm_mean,length_mm_sd
47,99903,1996,30060,2,39,534395,450,0
47,99903,1996,30060,2,40,534395,450,0
47,99903,1996,30060,2,41,1535944,440,0
47,99903,1996,30060,2,42,1422272,423.6,11.450000000000001
47,99903,1996,30060,2,45,1317092,421.97,9.73
47,99903,1996,30060,2,51,534395,450,0
47,99903,1996,30060,2,52,1535944,440,0
47,99903,1996,30060,2,53,1080430,420,0
47,99903,1996,30060,2,56,1602584,410,0
47,99903,1996,30060,2,61,1080430,420,0
47,99903,1996,30060,3,-9,1128172,134.64000000000001,24.94
47,99903,1996,30060,3,2,2482449,143.93,7.19
47,99903,1996,30060,3,3,5584,190,0
47,99903,1996,30060,3,4,5584,240,0
47,99903,1999,30060,1,-9,68668,361.21,162.23
47,99903,1999,30060,1,1,211737,130,0
47,99903,1999,30060,1,2,3175071,155.68,11.24
47,99903,1999,30060,1,3,11814400,203.5,21.25
47,99903,1999,30060,1,4,27482868,232.65,17.41
47,99903,1999,30060,1,5,31231025,252.34,21.78
47,99903,1999,30060,1,6,17556691,305,38.54
47,99903,1999,30060,1,7,20846681,330.7,24.19
47,99903,1999,30060,1,8,39529811,343.05,17.05
47,99903,1999,30060,1,9,62203308,351.36,22.72
47,99903,1999,30060,1,10,32403699,358.95,19.35
47,99903,1999,30060,1,11,53502203,357.21,20.72
47,99903,1999,30060,1,12,73703559,358.09000000000003,18.95
47,99903,1999,30060,1,13,34251054,363.48,16.490000000000002
47,99903,1999,30060,1,14,33761403,363.66,16.73
47,99903,1999,30060,1,15,19677681,363.57,17.38
47,99903,1999,30060,1,16,17346472,380.81,11.120000000000001
47,99903,1999,30060,1,17,1641111,390,0
47,99903,1999,30060,1,18,3694866,380.97,6.16
47,99903,1999,30060,1,19,2387163,384.09000000000003,8.07
47,99903,1999,30060,1,20,4939634,380.09000000000003,12.19
47,99903,1999,30060,1,21,8600649,378.07,7.98
47,99903,1999,30060,1,22,3810718,380.97,6.16
47,99903,1999,30060,1,23,2640213,405.08,8.32
47,99903,1999,30060,1,24,2342162,402.51,4.34
47,99903,1999,30060,1,25,2836422,392.58,4.37
47,99903,1999,30060,1,26,755622,402.2,7.83
47,99903,1999,30060,1,28,573426,410,0
47,99903,1999,30060,1,29,1799077,391.07,6.46
47,99903,1999,30060,1,30,573426,410,0
47,99903,1999,30060,1,33,230928,424.59000000000003,8.41
47,99903,1999,30060,1,38,115851,420,0
47,99903,1999,30060,1,43,115851,420,0
47,99903,1999,30060,1,46,93529,450,0
47,99903,1999,30060,1,48,115851,420,0
47,99903,1999,30060,1,53,597656,400,0
47,99903,1999,30060,1,54,157968,430,0
47,99903,1999,30060,1,65,115079,440,0
47,99903,1999,30060,1,76,315936,430,0
47,99903,1999,30060,1,81,93529,450,0
47,99903,1999,30060,2,-9,88068,503.39,18.88
47,99903,1999,30060,2,2,2031838,150.44,15.13
47,99903,1999,30060,2,3,11974867,215,15.75
47,99903,1999,30060,2,4,25471688,238.09,21.51
47,99903,1999,30060,2,5,31505554,264.34000000000003,29.72
47,99903,1999,30060,2,6,13984354,275.81,33.63
47,99903,1999,30060,2,7,31025276,314.73,27.97
47,99903,1999,30060,2,8,28876653,324.93,24.400000000000002
47,99903,1999,30060,2,9,64625505,356.53000000000003,22.89
47,99903,1999,30060,2,10,38287525,366.41,19.78
47,99903,1999,30060,2,11,77739657,376.95,21.04
47,99903,1999,30060,2,12,100872532,380.04,21.79
47,99903,1999,30060,2,13,69819825,377.93,20.45
47,99903,1999,30060,2,14,42810245,381.37,22.95
47,99903,1999,30060,2,15,37432460,383.39,15.63
47,99903,1999,30060,2,16,24805413,390.94,25.75
47,99903,1999,30060,2,17,22768940,394.06,14.86
47,99903,1999,30060,2,18,14505625,415.25,9.9
47,99903,1999,30060,2,20,11591936,401.25,15.94
47,99903,1999,30060,2,21,734712,440,0
47,99903,1999,30060,2,22,6192102,416.78000000000003,11.290000000000001
47,99903,1999,30060,2,23,8723149,395.93,11.620000000000001
47,99903,1999,30060,2,24,3653419,370,0
47,99903,1999,30060,2,25,1522562,432.17,6.22
47,99903,1999,30060,2,27,2530394,420,0
47,99903,1999,30060,2,28,734712,440,0
47,99903,1999,30060,2,30,290790,470,0
47,99903,1999,30060,2,32,23546,480,0
47,99903,1999,30060,2,44,1078693,442.81,4.49
47,99903,1999,30060,2,45,2380717,430.25,3.52
47,99903,1999,30060,2,46,3941478,390,0
47,99903,1999,30060,2,50,1178584,430,0
47,99903,1999,30060,2,58,3265109,422.54,6.65
47,99903,1999,30060,2,60,3934826,410,0
47,99903,1999,30060,2,63,23546,480,0
47,99903,1999,30060,3,-9,687282,87.98,19.740000000000002
47,99903,1999,30060,3,1,313240,126.98,10.58
47,99903,1999,30060,3,2,2040594,130.71,15.280000000000001
47,99903,1999,30060,3,3,1080647,182.04,11.63
47,99903,1999,30060,3,4,165766,186.88,7.68
47,99903,1999,30060,3,5,8088,200,0
47,99903,2001,30060,1,-9,656133552,335.6,53.370000000000005
47,99903,2001,30060,2,-9,532798948,333.34000000000003,60.93
47,99903,2001,30060,3,-9,437621,115.64,38.33
47,99903,2003,30060,1,-9,340249,451.81,141.42000000000002
47,99903,2003,30060,1,2,5514129,178.03,21.89
47,99903,2003,30060,1,3,21242421,205.03,19.37
47,99903,2003,30060,1,4,19933536,237.35,23.66
47,99903,2003,30060,1,5,27291186,262.94,33.1
47,99903,2003,30060,1,6,15694380,288.86,22.86
47,99903,2003,30060,1,7,18857937,323.38,36.95
47,99903,2003,30060,1,8,41794484,348.15000000000003,27.26
47,99903,2003,30060,1,9,45234611,358.19,21.97
47,99903,2003,30060,1,10,25580931,354.78000000000003,20.84
47,99903,2003,30060,1,11,24076309,358.98,21.87
47,99903,2003,30060,1,12,15422492,357.40000000000003,15.700000000000001
47,99903,2003,30060,1,13,10450885,358.13,13.950000000000001
47,99903,2003,30060,1,14,23935774,363.08,20.26
47,99903,2003,30060,1,15,21005430,372.03000000000003,20.47
47,99903,2003,30060,1,16,19059763,378.02,15.41
47,99903,2003,30060,1,17,12852163,375.93,13.21
47,99903,2003,30060,1,18,10741093,384.03000000000003,12.96
47,99903,2003,30060,1,19,4038242,385.71000000000004,8.23
47,99903,2003,30060,1,20,5054185,386.86,10.450000000000001
47,99903,2003,30060,1,21,3463806,376.48,14.74
47,99903,2003,30060,1,22,1824992,402.44,6.55
47,99903,2003,30060,1,23,1526252,402.44,6.55
47,99903,2003,30060,1,24,1981969,360.91,45.97
47,99903,2003,30060,1,25,1227287,380,0
47,99903,2003,30060,1,26,1908595,371.92,10.55
47,99903,2003,30060,1,29,703479,410,0
47,99903,2003,30060,1,36,101427,470,0
47,99903,2003,30060,1,40,1406960,410,0
47,99903,2003,30060,1,45,750182,440,0
47,99903,2003,30060,1,46,144576,450,0
47,99903,2003,30060,1,48,1227515,400,0
47,99903,2003,30060,1,51,1549144,391.79,8.26
47,99903,2003,30060,1,58,1227287,380,0
47,99903,2003,30060,1,61,703479,410,0
47,99903,2003,30060,1,74,298738,420,0
47,99903,2003,30060,2,-9,620181,416.45,159.51
47,99903,2003,30060,2,1,127740,106.08,4.88
47,99903,2003,30060,2,2,3614806,172.46,19.31
47,99903,2003,30060,2,3,19548710,207.85,19.46
47,99903,2003,30060,2,4,19960389,235.52,27.810000000000002
47,99903,2003,30060,2,5,26434164,272.36,34.63
47,99903,2003,30060,2,6,15743342,309.31,26.39
47,99903,2003,30060,2,7,23474764,341.88,37.88
47,99903,2003,30060,2,8,41081431,352.67,32.3
47,99903,2003,30060,2,9,45740057,354.7,19.990000000000002
47,99903,2003,30060,2,10,18215660,368.29,19.82
