cruisejoin,region,survey_name,hauljoin,end_latitude,end_longitude,bottom_depth,abundance_haul,stratum,gear_temperature,species_code,sex,length,weight,age,maturity,year
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,250,NA,5,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,250,NA,8,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,6,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,8,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,8,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,5,1,1984
316,GOA,GOA TRIENNIAL SURVEY,30667,56.392,-156.645,174,Y,121,NA,30060,2,340,519,8,NA,1984
316,GOA,GOA TRIENNIAL SURVEY,30667,56.392,-156.645,174,Y,121,NA,30060,2,340,551,8,NA,1984
316,GOA,GOA TRIENNIAL SURVEY,30667,56.392,-156.645,174,Y,121,NA,30060,2,340,565,8,NA,1984
316,GOA,GOA TRIENNIAL SURVEY,30667,56.392,-156.645,174,Y,121,NA,30060,2,350,550,NA,NA,1984
316,GOA,GOA TRIENNIAL SURVEY,30667,56.392,-156.645,174,Y,121,NA,30060,2,350,552,8,NA,1984
316,GOA,GOA TRIENNIAL SURVEY,30667,56.392,-156.645,174,Y,121,NA,30060,2,350,591,14,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30273,54.462669999999996,-160.774,110,Y,110,5.3,30060,1,160,51,2,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30273,54.462669999999996,-160.774,110,Y,110,5.3,30060,1,170,62,2,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30273,54.462669999999996,-160.774,110,Y,110,5.3,30060,2,370,608,17,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30431,55.99,-154.11183,219,Y,221,6,30060,2,350,544,8,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30431,55.99,-154.11183,219,Y,221,6,30060,2,350,603,9,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30431,55.99,-154.11183,219,Y,221,6,30060,2,350,630,8,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30431,55.99,-154.11183,219,Y,221,6,30060,2,360,626,8,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30431,55.99,-154.11183,219,Y,221,6,30060,2,360,632,8,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30431,55.99,-154.11183,219,Y,221,6,30060,2,360,638,8,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30431,55.99,-154.11183,219,Y,221,6,30060,2,370,684,9,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30431,55.99,-154.11183,219,Y,221,6,30060,2,370,734,9,NA,1984
314,GOA,GOA TRIENNIAL SURVEY,30431,55.99,-154.11183,219,Y,221,6,30060,2,390,767,10,NA,1984
316,GOA,GOA TRIENNIAL SURVEY,30667,56.392,-156.645,174,Y,121,NA,30060,1,310,388,8,NA,1984
316,GOA,GOA TRIENNIAL SURVEY,30667,56.392,-156.645,174,Y,121,NA,30060,1,310,421,7,NA,1984
316,GOA,GOA TRIENNIAL SURVEY,30667,56.392,-156.645,174,Y,121,NA,30060,1,320,420,7,NA,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,270,NA,5,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,270,NA,8,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,270,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,270,NA,6,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,270,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,270,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,270,NA,NA,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,280,NA,8,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,280,NA,8,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,280,NA,6,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,280,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,280,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,280,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,280,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,280,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,280,NA,NA,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,6,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,6,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,6,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,8,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,8,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,290,NA,7,1,1984
