"year","obs","pred"
1961,16000,16043.3
1962,65000,65333.6
1963,136300,137478
1964,243400,246263
1965,348600,350670
1966,200800,199613
1967,120000,119477
1968,100200,99995
1969,72600,72523.8
1970,44900,44882.4
1971,77500,77363.2
1972,77600,77390.1
1973,56400,56271.5
1974,51000,50936.2
1975,50400,50378.6
1976,45500,45486.4
1977,21600,21605.3
1978,8000,8015.33
1979,8300,8316.01
1980,10800,10817.9
1981,10500,10519.4
1982,5400,5415.19
1983,2821,2831.9
1984,2752,2762.84
1985,800,804.897
1986,2200,2209.57
1987,4500,4515.45
1988,8540,8567.11
1989,11780,11821.1
1990,13090,13121.1
1991,6548.13,6566.25
1992,6537.64,6555.68
1993,2059.76,2069.18
1994,1841.23,1850.32
1995,5740.72,5757.56
1996,8378.43,8393.73
1997,9518.82,9535.18
1998,8907.93,8924.68
1999,10473.1,10491.1
2000,10145.5,10164.5
2001,10817.1,10837.2
2002,11733.8,11754.7
2003,10846.3,10849.8
2004,11639.9,11640.5
2005,11247.5,11245.6
2006,13595.3,13584.5
2007,12954.8,12916.9
2008,12461.2,12424.1
2009,12986.4,12933
2010,15615.7,15527.9
2011,14223.6,14140.3
2012,14916,14817.5
2013,13181.4,13114.8
2014,17712.1,17578
2015,18732.8,18594.9
2016,23034.5,22815.7
2017,23860.2,23680.8
2018,24737,24538
2019,25470.3,25310.9
2020,25191.2,25034.5
2021,28899.9,28774.3
2022,29484,29371.8
2023,29939.5,29879.7
