"age","fish1","fish2","fish3","fish4","srv1"
2,0.000128025,0.000065117,0.00000221124,0.000105563,0.0198823
3,0.000698306,0.000461918,0.000225713,0.00131965,0.0272072
4,0.00379924,0.00327091,0.0027448,0.0054686,0.0371293
5,0.0203894,0.0171737,0.0139693,0.01442,0.0504838
6,0.102006,0.0730409,0.0441118,0.0296809,0.0683039
7,0.382694,0.242804,0.102997,0.0522329,0.0918114
8,0.771866,0.483485,0.195261,0.0824999,0.122356
9,0.948626,0.633095,0.317822,0.120391,0.161276
10,0.990174,0.72512,0.460438,0.16538,0.209646
11,0.998185,0.803096,0.6085,0.216604,0.267936
12,0.999667,0.872816,0.746571,0.272958,0.335624
13,0.999939,0.930342,0.861444,0.333191,0.410924
14,0.999989,0.971644,0.944064,0.395982,0.490797
15,0.999998,0.994689,0.990182,0.460007,0.571351
16,1,0.999595,1,0.523995,0.648565
17,1,0.988199,0.977189,0.586766,0.719052
18,1,0.963452,0.927656,0.64726,0.780587
19,1,0.928825,0.858346,0.704556,0.83225
20,1,0.887818,0.776264,0.757878,0.874218
21,1,0.84361,0.687777,0.806601,0.907409
22,1,0.798858,0.5982,0.85025,0.933107
23,1,0.755606,0.511628,0.888485,0.952677
24,1,0.715296,0.430942,0.921098,0.967393
25,1,0.678823,0.357937,0.947999,0.978356
26,1,0.646633,0.293503,0.969201,0.986465
27,1,0.618821,0.237836,0.984805,0.992431
28,1,0.595237,0.190628,0.994991,0.996804
29,1,0.575562,0.151247,1,1
