"weight","value","variable","model"
50,0.0604224,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.21"
1,28.8325,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.21"
1,29.9806,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.21"
1,49.0952,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.21"
1,64.9388,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.21"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.21"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.21"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.21"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.21"
1,-55.5553,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.21"
0.1,7.68793,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.21"
1,26.3192,"Priors SigmaR","2023-09-25-Mprofile_M=0.21"
1,0.181186,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.21"
1,0,"Priors M","2023-09-25-Mprofile_M=0.21"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.21"
1,103.517,"Maturity Likelihood","2023-09-25-Mprofile_M=0.21"
1,255.16,"Objective Function","2023-09-25-Mprofile_M=0.21"
1,172.908,"Data Likelihood","2023-09-25-Mprofile_M=0.21"
