"age","srv1","maturity"
2,44.3,0.00649558
3,98.3,0.0126256
4,166.7,0.0243988
5,242.5,0.0466315
6,320,0.0873103
7,395,0.157609
8,464.9,0.267894
9,528.2,0.417138
10,584.5,0.583282
11,633.8,0.732444
12,676.3,0.842621
13,712.7,0.912827
14,743.6,0.953445
15,769.7,0.975642
16,791.7,0.987396
17,810,0.993516
18,825.4,0.996674
19,838.1,0.998297
20,848.7,0.999128
21,857.5,0.999554
22,864.7,0.999772
23,870.8,0.999883
24,875.7,0.99994
25,879.8,0.99997
26,883.2,0.999984
27,886,0.999992
28,888.3,0.999996
29,894.6,0.999998
