"age","srv1","maturity"
2,44.2,0.00657105
3,98.5,0.0127563
4,167.4,0.0246193
5,243.7,0.0469894
6,321.6,0.0878553
7,397,0.158356
8,467.2,0.268761
9,530.8,0.417919
10,587.3,0.583771
11,636.7,0.732603
12,679.3,0.842568
13,715.7,0.9127
14,746.6,0.953321
15,772.7,0.975547
16,794.6,0.987331
17,813,0.993474
18,828.2,0.996649
19,840.9,0.998282
20,851.5,0.99912
21,860.2,0.999549
22,867.5,0.999769
23,873.4,0.999882
24,878.4,0.999939
25,882.4,0.999969
26,885.8,0.999984
27,888.6,0.999992
28,890.8,0.999996
29,897.1,0.999998
