"age","fish1","fish2","fish3","fish4","srv1"
2,0.000162905,0.0000834362,0.0000039715,0.000287177,0.0362223
3,0.000840176,0.000608103,0.000376376,0.00309021,0.0512628
4,0.00432102,0.00432091,0.00432479,0.011662,0.0720821
5,0.0219068,0.0214178,0.0209482,0.0286586,0.100463
6,0.103615,0.0833814,0.063206,0.0556734,0.138354
7,0.373657,0.257446,0.141366,0.0932115,0.187562
8,0.754834,0.505877,0.257158,0.140842,0.249218
9,0.940793,0.671282,0.402142,0.197414,0.323097
10,0.987953,0.773853,0.560271,0.261284,0.407026
11,0.997643,0.854794,0.712603,0.330521,0.496791
12,0.999542,0.920356,0.841947,0.403077,0.58681
13,0.999911,0.967537,0.936028,0.476925,0.67144
14,0.999983,0.993921,0.988772,0.550159,0.746308
15,0.999997,0.999537,1,0.621069,0.80906
16,0.999999,0.986609,0.974118,0.688177,0.859319
17,1,0.958779,0.918406,0.750264,0.898127
18,1,0.920301,0.841379,0.806376,0.927256
19,1,0.875385,0.751463,0.855812,0.948658
20,1,0.827753,0.656112,0.89811,0.964137
21,1,0.780402,0.561323,0.933024,0.975205
22,1,0.735528,0.471492,0.960499,0.983055
23,1,0.694569,0.389498,0.980641,0.988591
24,1,0.658313,0.316919,0.993691,0.992478
25,1,0.627038,0.254311,1,0.9952
26,1,0.60065,0.201486,1,0.997102
27,1,0.578813,0.157771,0.994185,0.99843
28,1,0.561047,0.122206,0.983088,0.999355
29,1,0.546812,0.0937101,0.967268,1
