"weight","value","variable","model"
50,0.0957755,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.17"
1,25.8354,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.17"
1,28.1737,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.17"
1,41.529,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.17"
1,65.3354,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.17"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.17"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.17"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.17"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.17"
1,-40.5368,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.17"
0.1,7.7399,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.17"
1,21.2252,"Priors SigmaR","2023-09-25-Mprofile_M=0.17"
1,0.108131,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.17"
1,0,"Priors M","2023-09-25-Mprofile_M=0.17"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.17"
1,103.516,"Maturity Likelihood","2023-09-25-Mprofile_M=0.17"
1,253.022,"Objective Function","2023-09-25-Mprofile_M=0.17"
1,160.969,"Data Likelihood","2023-09-25-Mprofile_M=0.17"
