"year","obs","pred"
1961,16000,16063.5
1962,65000,65618.6
1963,136300,138309
1964,243400,247777
1965,348600,350803
1966,200800,198371
1967,120000,119046
1968,100200,99883.3
1969,72600,72503.3
1970,44900,44875.8
1971,77500,77321.6
1972,77600,77287.6
1973,56400,56195.6
1974,51000,50922.1
1975,50400,50413.7
1976,45500,45512
1977,21600,21607
1978,8000,8013.96
1979,8300,8315.85
1980,10800,10820.9
1981,10500,10524.1
1982,5400,5415.94
1983,2821,2831.77
1984,2752,2762.83
1985,800,804.743
1986,2200,2209.63
1987,4500,4517.2
1988,8540,8575.77
1989,11780,11839.1
1990,13090,13131.9
1991,6548.13,6567.59
1992,6537.64,6556.2
1993,2059.76,2068.93
1994,1841.23,1850.1
1995,5740.72,5757.15
1996,8378.43,8395.13
1997,9518.82,9536.95
1998,8907.93,8926.56
1999,10473.1,10494.3
2000,10145.5,10167.7
2001,10817.1,10840.8
2002,11733.8,11757.8
2003,10846.3,10845.6
2004,11639.9,11635.1
2005,11247.5,11240
2006,13595.3,13575.9
2007,12954.8,12914.3
2008,12461.2,12421.6
2009,12986.4,12925.4
2010,15615.7,15514.4
2011,14223.6,14126.4
2012,14916,14802.2
2013,13181.4,13107.8
2014,17712.1,17562.6
2015,18732.8,18582.1
2016,23034.5,22794.9
2017,23860.2,23674.1
2018,24737,24531.4
2019,25470.3,25313.2
2020,25191.2,25036.9
2021,28899.9,28791.2
2022,29484,29387
2023,29939.5,29902.5
