"weight","value","variable","model"
50,0.0999781,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.15"
1,24.2824,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.15"
1,27.4038,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.15"
1,42.5868,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.15"
1,64.3965,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.15"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.15"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.15"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.15"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.15"
1,-26.5381,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.15"
0.1,7.71006,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.15"
1,16.9701,"Priors SigmaR","2023-09-27-Mprofile_M=0.15"
1,0.106916,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.15"
1,0,"Priors M","2023-09-27-Mprofile_M=0.15"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.15"
1,103.516,"Maturity Likelihood","2023-09-27-Mprofile_M=0.15"
1,260.534,"Objective Function","2023-09-27-Mprofile_M=0.15"
1,158.769,"Data Likelihood","2023-09-27-Mprofile_M=0.15"
