"year","obs","pred"
1961,16000,16054.1
1962,65000,65491.3
1963,136300,137973
1964,243400,247267
1965,348600,351097
1966,200800,199069
1967,120000,119282
1968,100200,99951.6
1969,72600,72519.8
1970,44900,44880.9
1971,77500,77349.3
1972,77600,77346.3
1973,56400,56237.3
1974,51000,50929.2
1975,50400,50393.4
1976,45500,45497.2
1977,21600,21605.9
1978,8000,8014.7
1979,8300,8315.95
1980,10800,10819.4
1981,10500,10521.7
1982,5400,5415.61
1983,2821,2831.9
1984,2752,2762.9
1985,800,804.842
1986,2200,2209.65
1987,4500,4516.43
1988,8540,8571.75
1989,11780,11830.7
1990,13090,13127.3
1991,6548.13,6567.2
1992,6537.64,6556.24
1993,2059.76,2069.1
1994,1841.23,1850.24
1995,5740.72,5757.5
1996,8378.43,8394.7
1997,9518.82,9536.49
1998,8907.93,8925.95
1999,10473.1,10493.2
2000,10145.5,10166.5
2001,10817.1,10839.5
2002,11733.8,11757
2003,10846.3,10848
2004,11639.9,11638.2
2005,11247.5,11243
2006,13595.3,13580.4
2007,12954.8,12914.3
2008,12461.2,12421.3
2009,12986.4,12927.1
2010,15615.7,15517.8
2011,14223.6,14130.1
2012,14916,14805.7
2013,13181.4,13108.1
2014,17712.1,17564.2
2015,18732.8,18582.2
2016,23034.5,22795.4
2017,23860.2,23669.6
2018,24737,24525.6
2019,25470.3,25305.2
2020,25191.2,25028.7
2021,28899.9,28778
2022,29484,29375.6
2023,29939.5,29889.8
