"weight","value","variable","model"
50,0.0815773,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.19"
1,27.2098,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.19"
1,28.9091,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.19"
1,45.7015,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.19"
1,65.086,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.19"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.19"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.19"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.19"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.19"
1,-48.2396,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.19"
0.1,7.71092,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.19"
1,23.7695,"Priors SigmaR","2023-09-25-Mprofile_M=0.19"
1,0.127087,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.19"
1,0,"Priors M","2023-09-25-Mprofile_M=0.19"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.19"
1,103.516,"Maturity Likelihood","2023-09-25-Mprofile_M=0.19"
1,253.872,"Objective Function","2023-09-25-Mprofile_M=0.19"
1,166.988,"Data Likelihood","2023-09-25-Mprofile_M=0.19"
