"year","maxf","authf","half_maxf","avg5f","nof","overf","appoverf"
2024,234441,234441,234441,234441,234441,234441,234441
2025,230593,230593,230593,230593,230593,225815,227014
2026,226840,230884,229795,228933,232791,212393,216805
2027,216318,228901,227502,224192,239310,200047,206094
2028,206016,219739,224584,219012,244979,188373,193772
2029,195725,208115,220794,213170,249413,177126,181898
2030,185806,196879,216463,207019,252810,166616,170794
2031,176859,186666,212219,201191,255715,157380,161008
2032,169404,178028,208688,196291,258755,149851,152983
2033,163566,171109,206132,192549,262238,144086,146770
2034,159179,165754,204526,189907,266220,139905,142169
2035,155896,161615,203633,188099,270517,137007,138871
2036,153419,158387,203234,186884,274965,135036,136555
2037,151506,155809,203129,186046,279388,133678,134909
