"","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1961",105.82,142.5,106.65,146.6,105.63,147.34,105.97,106.47,106.84,107.7
"1962",130.86,160.98,131.46,162.26,129.94,160.75,129.88,130.19,130.43,131.1
"1963",221.7,210.08,215.84,203.97,210.1,197.5,205.7,204.13,201.5,200.08
"1964",137.62,143.26,137.34,143.16,135.31,140.84,134,133.56,133.91,134.02
"1965",141.26,152.68,141.55,153.41,139.83,151.4,139.27,139.28,139.62,140.11
"1966",306.24,303.29,299.13,296.08,291.78,287.65,284.85,282.03,279.72,277.72
"1967",161.68,169.36,160.83,168.49,158.33,165.2,156.79,156.37,155.94,156.02
"1968",93.729,96.181,92.842,95.684,91.236,93.948,89.702,89.085,89.185,89.019
"1969",67.684,70.674,67.162,70.454,66.083,69.251,64.885,64.372,64.625,64.501
"1970",71.017,73.955,70.127,73.2,68.882,71.6,67.4,66.773,66.727,66.49
"1971",60.219,62.692,59.554,62.244,58.531,60.938,57.073,56.414,56.574,56.359
"1972",44.576,46.922,44.276,46.934,43.59,46.13,42.425,41.856,42.285,42.15
"1973",38.593,40.665,38.383,40.792,37.803,40.143,36.723,36.169,36.674,36.554
"1974",35.226,37.064,35.057,37.242,34.544,36.682,33.502,32.946,33.488,33.368
"1975",33.02,34.728,32.873,34.93,32.418,34.436,31.398,30.84,31.399,31.277
"1976",32.562,34.267,32.424,34.483,32.012,34.031,30.975,30.401,30.98,30.851
"1977",38.885,40.95,38.669,41.119,38.221,40.579,36.974,36.284,36.909,36.738
"1978",61.767,64.728,60.864,64.141,60.135,62.965,58.008,56.895,57.318,56.913
"1979",46.523,48.912,46.17,48.944,45.753,48.342,44.242,43.401,44.035,43.791
"1980",40.623,42.728,40.405,42.88,40.163,42.522,38.902,38.18,38.81,38.616
"1981",41.786,43.973,41.63,44.205,41.517,43.999,40.291,39.576,40.248,40.065
"1982",53.094,55.858,52.848,56.029,52.927,55.94,51.445,50.578,51.306,51.061
"1983",53.242,56.194,53.204,56.636,53.553,56.906,52.186,51.364,52.232,52.035
"1984",56.184,59.661,56.334,60.363,56.998,61.017,55.654,54.859,55.884,55.733
"1985",80.612,86.055,80.997,87.181,82.459,88.62,80.598,79.586,81.023,80.854
"1986",121.46,129.82,122.15,131.49,124.82,133.96,121.57,120.03,122.26,121.97
"1987",111.18,119.15,111.92,120.8,114.11,122.87,111.09,109.79,111.94,111.79
"1988",171.96,183.86,173.43,186.55,177.73,190.48,172.62,170.54,173.91,173.57
"1989",132.92,142.33,134.47,144.92,137.75,148,134.22,132.68,135.42,135.24
"1990",107.91,115.6,109.26,117.6,112.06,120.02,108.49,107.23,109.35,109.17
"1991",52.8,56.589,54.035,58.382,55.709,60.219,54.957,54.428,55.763,55.769
"1992",62.343,66.907,64.065,69.104,66.374,71.416,65.053,64.481,65.92,65.908
"1993",61.851,66.444,63.874,68.978,66.227,71.38,64.805,64.247,65.793,65.818
"1994",69.913,75.151,72.573,78.342,76.418,82.361,75.747,75.258,77.094,77.148
"1995",55.892,60.288,57.867,62.811,60.76,65.992,60.156,59.802,61.485,61.625
"1996",128.63,139,134.49,145.71,143.06,154.65,142.05,141.49,145.38,145.71
"1997",129.87,140.72,137.29,149.19,147.57,160.24,149.09,148.77,153.42,153.9
"1998",79.513,86.648,82.571,90.295,88.657,97.006,88.816,88.815,91.613,92.061
"1999",101,110.72,104.96,115.28,112.13,123.15,111.68,112.01,115.28,116.01
"2000",196.79,217.51,207.56,229.16,222.73,245.95,223.26,224.88,231.06,232.85
"2001",122.87,136.88,129.06,143.68,139.12,154.99,138.22,139.54,143.04,144.42
"2002",177.88,201.25,186.52,209.72,208.85,234.68,210.16,213.63,222.74,225.53
"2003",103.48,117.76,106.92,120.96,114.82,129.88,114.43,116.32,120.51,122.13
"2004",142.58,166.74,160.22,184.66,170.68,196.18,167.97,172.79,178.74,182.02
"2005",57.889,66.974,64.225,73.802,69.237,79.487,68.049,69.505,72.011,73.21
"2006",95.501,115.34,103.94,123.04,116.72,137.59,112.53,117.19,119.87,122.84
"2007",88.176,106.13,86.331,101.85,89.783,105.41,85.467,88.474,87.486,89.494
"2008",227.28,299.61,224.48,280.93,219.74,270.07,201.68,214.21,196.32,202.99
"2009",121.56,154.68,126.73,157.41,143.37,175.86,147.11,155.69,143.07,147.75
"2010",154.72,206.44,174.21,230.57,190.1,246.3,218.95,239.23,224.3,234.95
"2011",70.022,83.992,66.161,81.557,62.64,77.271,71.604,75.879,81.732,84.588
"2012",93.695,111.99,133.84,177.96,118.76,158.56,141.87,159.37,175.23,186.5
"2013",73.975,84.637,68.692,83.119,55.932,69.97,51.768,55.628,65.186,68.098
"2014",83.559,93.758,100.13,120.93,99.408,130.13,122.92,141.62,152.09,164.7
"2015",NA,93.077,81.373,94.133,78.983,97.469,83.904,93.736,107.2,115.51
"2016",NA,NA,84.353,95.443,82.336,98.58,109.99,125.75,109.49,119.65
"2017",NA,NA,NA,94.711,74.159,85.917,74.288,80.034,65.427,69.713
"2018",NA,NA,NA,NA,83.746,94.998,240.8,279.13,205.88,230.7
"2019",NA,NA,NA,NA,NA,94.25,120.09,126.35,134.87,145.22
"2020",NA,NA,NA,NA,NA,NA,84.253,85.745,80.404,83.806
"2021",NA,NA,NA,NA,NA,NA,NA,85.088,74.07,76.111
"2022",NA,NA,NA,NA,NA,NA,NA,NA,85.104,86.415
"2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,86.042
