"year","age","value","groups","Age","Year"
1998,25,0.00496668,"pred","25","1998"
1999,25,0.00541459,"pred","25","1999"
2000,25,0.00602663,"pred","25","2000"
2001,25,0.00660398,"pred","25","2001"
2002,25,0.00697971,"pred","25","2002"
2004,25,0.00723543,"pred","25","2004"
2005,25,0.00733012,"pred","25","2005"
2006,25,0.00758128,"pred","25","2006"
2008,25,0.055575,"pred","25","2008"
2010,25,0.0673942,"pred","25","2010"
2012,25,0.076393,"pred","25","2012"
2014,25,0.0733414,"pred","25","2014"
2016,25,0.0687371,"pred","25","2016"
2018,25,0.0713646,"pred","25","2018"
2020,25,0.0808905,"pred","25","2020"
2022,25,0.0924421,"pred","25","2022"
