"year","m","tier","tb_proj","ssb_proj","sb0","sb40","sb35","f_ofl","maxf_abc","f_abc","ofl","maxabc","abc"
2024,0.074,"3a",670712,234441,343618,137447,120266,0.119,0.099,0.099,48896,40916,40916
2025,0.074,"3a",650615,230593,343618,137447,120266,0.119,0.099,0.099,47518,39762,39762
