"age","fish1","fish2","fish3","fish4","srv1"
2,0.000325697,0.000168063,0.0000104616,0.000937548,0.0798128
3,0.00147215,0.00114481,0.000820049,0.00956621,0.121997
4,0.0066274,0.00746354,0.00832585,0.0340927,0.182066
5,0.0293057,0.0329001,0.0366096,0.0789858,0.262858
6,0.120197,0.110824,0.101771,0.144528,0.363565
7,0.382038,0.296531,0.211689,0.227789,0.477847
8,0.736675,0.547997,0.360454,0.323876,0.594497
9,0.926792,0.727625,0.530126,0.427054,0.701375
10,0.982844,0.838893,0.697134,0.531593,0.790036
11,0.996157,0.916416,0.839313,0.632338,0.857717
12,0.999148,0.96852,0.940851,0.725037,0.906177
13,0.999812,0.995486,0.994286,0.806478,0.939304
14,0.999958,0.998407,1,0.874499,0.961239
15,0.999991,0.98059,0.964222,0.927901,0.975459
16,0.999998,0.946861,0.896542,0.966322,0.984551
17,1,0.902553,0.807646,0.990076,0.990313
18,1,0.852693,0.707611,1,0.993943
19,1,0.801492,0.604885,0.997304,0.996224
20,1,0.752125,0.50584,0.983436,0.997652
21,1,0.706727,0.414758,0.959975,0.998546
22,1,0.666516,0.334082,0.928537,0.999105
23,1,0.63198,0.264793,0.890704,0.999454
24,1,0.603081,0.206813,0.847976,0.999672
25,1,0.579435,0.159372,0.801731,0.999808
26,1,0.560462,0.121306,0.753207,0.999893
27,1,0.545501,0.0912882,0.70349,0.999946
28,1,0.533883,0.0679795,0.653507,0.999979
29,1,0.524987,0.0501309,0.604036,1
