"year","obs","pred"
1961,16000,16110.3
1962,65000,66019.6
1963,136300,139067
1964,243400,249638
1965,348600,352648
1966,200800,197653
1967,120000,118777
1968,100200,99810.6
1969,72600,72415.9
1970,44900,44824.6
1971,77500,76952
1972,77600,76705.7
1973,56400,55815.6
1974,51000,50783.5
1975,50400,50474.5
1976,45500,45512.3
1977,21600,21607.2
1978,8000,8012.48
1979,8300,8320.39
1980,10800,10843.7
1981,10500,10554
1982,5400,5421.83
1983,2821,2831.92
1984,2752,2763.31
1985,800,804.166
1986,2200,2209.81
1987,4500,4522.66
1988,8540,8600.85
1989,11780,11885.4
1990,13090,13149.9
1991,6548.13,6566.96
1992,6537.64,6553.05
1993,2059.76,2068.52
1994,1841.23,1849.72
1995,5740.72,5758.04
1996,8378.43,8406.53
1997,9518.82,9551.45
1998,8907.93,8938.13
1999,10473.1,10514.9
2000,10145.5,10185.1
2001,10817.1,10858.8
2002,11733.8,11773.7
2003,10846.3,10839
2004,11639.9,11624.9
2005,11247.5,11230.8
2006,13595.3,13560.3
2007,12954.8,12910.3
2008,12461.2,12421.1
2009,12986.4,12910.5
2010,15615.7,15496.1
2011,14223.6,14103.3
2012,14916,14782.9
2013,13181.4,13106.7
2014,17712.1,17562.6
2015,18732.8,18585.1
2016,23034.5,22807
2017,23860.2,23710.9
2018,24737,24575.2
2019,25470.3,25341.7
2020,25191.2,25066.5
2021,28899.9,28834.1
2022,29484,29416.3
2023,29939.5,29938.8
