"weight","value","variable","model"
50,0.166139,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.09"
1,17.3906,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.09"
1,25.5175,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.09"
1,26.7217,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.09"
1,65.3694,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.09"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.09"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.09"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.09"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.09"
1,1.48317,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.09"
0.1,6.77256,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.09"
1,9.88104,"Priors SigmaR","2023-09-25-Mprofile_M=0.09"
1,0.184043,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.09"
1,0,"Priors M","2023-09-25-Mprofile_M=0.09"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.09"
1,103.516,"Maturity Likelihood","2023-09-25-Mprofile_M=0.09"
1,257.002,"Objective Function","2023-09-25-Mprofile_M=0.09"
1,135.165,"Data Likelihood","2023-09-25-Mprofile_M=0.09"
