
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 25.3018 27.0643 29.794 29.794 29.794 29.794 3.62377e-13 
2025  0 25.3018 27.0643 16.1515 16.1515 16.1515 16.1515 4.53472e-10 
2026  0 25.3018 27.0643 12.88 12.88 12.88 12.88 4.3336e-09 
2027  0 25.3018 27.0643 31.522 31.522 31.522 31.522 8.5261e-08 
2028  0 25.3018 27.0643 19.1885 19.2473 19.2579 19.3706 0.0583481 
2029  0 25.3018 27.0643 18.7262 18.863 18.8847 19.1358 0.131914 
2030  0 25.3018 27.0643 18.2124 18.4828 18.5204 18.9722 0.24434 
2031  0 25.3018 27.0643 17.7065 18.1276 18.1969 18.9336 0.39284 
2032  0 25.3018 27.0643 17.1881 17.8101 17.9198 18.978 0.568659 
2033  0 25.3018 27.0643 16.6924 17.6047 17.7055 19.1005 0.759367 
2034  0 25.3018 27.0643 16.2653 17.4567 17.5453 19.2668 0.951642 
2035  0 25.3018 27.0643 15.8854 17.3251 17.4422 19.4904 1.13422 
2036  0 25.3018 27.0643 15.5331 17.2479 17.386 19.7762 1.30022 
2037  0 25.3018 27.0643 15.3031 17.1786 17.3765 19.8636 1.44714 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 343.618 137.447 120.266 234.441 234.441 234.441 234.441 8.81073e-13 
2025 343.618 137.447 120.266 230.583 230.591 230.593 230.612 0.00954066 
2026 343.618 137.447 120.266 230.838 230.877 230.884 230.956 0.038785 
2027 343.618 137.447 120.266 228.755 228.879 228.901 229.141 0.123726 
2028 343.618 137.447 120.266 222.214 222.538 222.594 223.212 0.322477 
2029 343.618 137.447 120.266 218 218.764 218.885 220.277 0.729561 
2030 343.618 137.447 120.266 212.817 214.418 214.655 217.562 1.51021 
2031 343.618 137.447 120.266 206.996 210.067 210.527 215.783 2.82964 
2032 343.618 137.447 120.266 201.118 206.31 207.12 216.264 4.74236 
2033 343.618 137.447 120.266 195.668 203.374 204.69 217.85 7.079 
2034 343.618 137.447 120.266 190.49 201.942 203.209 220.532 9.51401 
2035 343.618 137.447 120.266 186.637 201.226 202.437 223.684 11.7675 
2036 343.618 137.447 120.266 183.289 200.553 202.152 226.867 13.7001 
2037 343.618 137.447 120.266 180.979 200.387 202.152 229.167 15.2862 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0990105 0.119243 0.0713322 0.0713322 0.0713322 0.0713322 5.55112e-17 
2025  0 0.0990105 0.119243 0.039302 0.0393027 0.0393026 0.039303 3.06623e-07 
2026  0 0.0990105 0.119243 0.0314207 0.0314318 0.0314307 0.0314363 5.11078e-06 
2027  0 0.0990105 0.119243 0.0784374 0.0785949 0.0785824 0.0786672 7.42406e-05 
2028  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2029  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2030  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2031  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2032  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2033  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2034  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2035  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2036  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2037  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2025 1785.64 465.616 428.615 647.344 649.856 650.615 656.326 2.97097 
2026 1785.64 465.616 428.615 636.755 643.645 644.643 656.953 6.51087 
2027 1785.64 465.616 428.615 628.533 640.262 642.326 662.346 11.0375 
2028 1785.64 465.616 428.615 601.976 619.052 622.185 652.643 16.2925 
2029 1785.64 465.616 428.615 587.346 612.685 615.756 655.282 21.8191 
2030 1785.64 465.616 428.615 574.462 608.227 610.735 659.921 27.3024 
2031 1785.64 465.616 428.615 562.313 603.706 607.12 665.252 32.413 
2032 1785.64 465.616 428.615 552.789 600.703 604.753 672.587 37.1286 
2033 1785.64 465.616 428.615 544.276 598.015 603.293 675.104 41.2564 
2034 1785.64 465.616 428.615 537.72 596.204 602.56 679.614 45.0507 
2035 1785.64 465.616 428.615 531.428 596.36 602.351 683.536 48.454 
2036 1785.64 465.616 428.615 526.207 596.356 602.553 688.176 51.612 
2037 1785.64 465.616 428.615 523.769 598.882 602.893 689.053 54.4162 
Alternative 4 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 25.3018 27.0643 29.794 29.794 29.794 29.794 3.62377e-13 
2025  0 25.3018 27.0643 16.1515 16.1515 16.1515 16.1515 4.53472e-10 
2026  0 25.3018 27.0643 12.88 12.88 12.88 12.88 4.3336e-09 
2027  0 25.3018 27.0643 31.522 31.522 31.522 31.522 8.5261e-08 
2028  0 25.3018 27.0643 24.6223 24.6981 24.7117 24.8572 0.0752366 
2029  0 25.3018 27.0643 23.7646 23.9407 23.9687 24.2919 0.16981 
2030  0 25.3018 27.0643 22.8679 23.2148 23.2633 23.8432 0.313737 
2031  0 25.3018 27.0643 22.0105 22.5479 22.6376 23.5787 0.502664 
2032  0 25.3018 27.0643 21.1657 21.9579 22.0988 23.4465 0.724466 
2033  0 25.3018 27.0643 20.3805 21.5352 21.6656 23.4308 0.962465 
2034  0 25.3018 27.0643 19.7059 21.2083 21.325 23.4881 1.19924 
2035  0 25.3018 27.0643 19.1221 20.9278 21.0769 23.6626 1.42059 
2036  0 25.3018 27.0643 18.6002 20.7416 20.9051 23.8334 1.61844 
2037  0 25.3018 27.0643 18.2291 20.5663 20.8055 23.8658 1.79066 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 343.618 137.447 120.266 234.441 234.441 234.441 234.441 8.81073e-13 
2025 343.618 137.447 120.266 230.583 230.591 230.593 230.612 0.00954066 
2026 343.618 137.447 120.266 230.838 230.877 230.884 230.956 0.038785 
2027 343.618 137.447 120.266 228.755 228.879 228.901 229.141 0.123726 
2028 343.618 137.447 120.266 221.381 221.705 221.761 222.379 0.322298 
2029 343.618 137.447 120.266 214.814 215.576 215.697 217.087 0.727988 
2030 343.618 137.447 120.266 207.491 209.085 209.321 212.211 1.50326 
2031 343.618 137.447 120.266 199.764 202.812 203.27 208.474 2.80652 
2032 343.618 137.447 120.266 192.22 197.364 198.157 207.211 4.68147 
2033 343.618 137.447 120.266 185.325 192.936 194.218 207.119 6.94904 
2034 343.618 137.447 120.266 178.955 190.161 191.396 208.264 9.28255 
2035 343.618 137.447 120.266 173.988 188.192 189.425 210.022 11.4101 
2036 343.618 137.447 120.266 169.883 186.487 188.065 211.996 13.2033 
2037 343.618 137.447 120.266 166.668 185.22 187.099 213.282 14.6476 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0990105 0.119243 0.0713322 0.0713322 0.0713322 0.0713322 5.55112e-17 
2025  0 0.0990105 0.119243 0.039302 0.0393027 0.0393026 0.039303 3.06623e-07 
2026  0 0.0990105 0.119243 0.0314207 0.0314318 0.0314307 0.0314363 5.11078e-06 
2027  0 0.0990105 0.119243 0.0784374 0.0785949 0.0785824 0.0786672 7.42406e-05 
2028  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2029  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2030  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2031  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2032  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2033  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2034  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2035  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2036  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2037  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2025 1785.64 465.616 428.615 647.344 649.856 650.615 656.326 2.97097 
2026 1785.64 465.616 428.615 636.755 643.645 644.643 656.953 6.51087 
2027 1785.64 465.616 428.615 628.533 640.262 642.326 662.346 11.0375 
2028 1785.64 465.616 428.615 601.976 619.052 622.185 652.643 16.2925 
2029 1785.64 465.616 428.615 581.914 607.229 610.304 649.787 21.8008 
2030 1785.64 465.616 428.615 564.24 597.991 600.428 649.477 27.244 
2031 1785.64 465.616 428.615 547.887 589.081 592.521 650.446 32.2844 
2032 1785.64 465.616 428.615 534.617 582.334 586.374 653.35 36.8959 
2033 1785.64 465.616 428.615 523.09 576.154 581.593 652.533 40.8863 
2034 1785.64 465.616 428.615 513.75 571.834 577.935 653.739 44.5164 
2035 1785.64 465.616 428.615 505.362 568.909 575.145 654.789 47.7344 
2036 1785.64 465.616 428.615 497.69 567.681 573.055 656.614 50.6981 
2037 1785.64 465.616 428.615 493.775 567.739 571.354 655.145 53.3028 
Alternative 5 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 25.3018 27.0643 29.794 29.794 29.794 29.794 3.62377e-13 
2025  0 25.3018 27.0643 16.1515 16.1515 16.1515 16.1515 4.53472e-10 
2026  0 25.3018 27.0643 12.88 12.88 12.88 12.88 4.3336e-09 
2027  0 25.3018 27.0643 31.522 31.522 31.522 31.522 8.5261e-08 
2028  0 25.3018 27.0643 0 0 0 0 0 
2029  0 25.3018 27.0643 0 0 0 0 0 
2030  0 25.3018 27.0643 0 0 0 0 0 
2031  0 25.3018 27.0643 0 0 0 0 0 
2032  0 25.3018 27.0643 0 0 0 0 0 
2033  0 25.3018 27.0643 0 0 0 0 0 
2034  0 25.3018 27.0643 0 0 0 0 0 
2035  0 25.3018 27.0643 0 0 0 0 0 
2036  0 25.3018 27.0643 0 0 0 0 0 
2037  0 25.3018 27.0643 0 0 0 0 0 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 343.618 137.447 120.266 234.441 234.441 234.441 234.441 8.81073e-13 
2025 343.618 137.447 120.266 230.583 230.591 230.593 230.612 0.00954066 
2026 343.618 137.447 120.266 230.838 230.877 230.884 230.956 0.038785 
2027 343.618 137.447 120.266 228.755 228.879 228.901 229.141 0.123726 
2028 343.618 137.447 120.266 225.107 225.432 225.488 226.108 0.323094 
