"year","obs","pred"
1961,16000,16060.8
1962,65000,65580.5
1963,136300,138168
1964,243400,247515
1965,348600,350767
1966,200800,198479
1967,120000,119092
1968,100200,99906.4
1969,72600,72510.2
1970,44900,44877.2
1971,77500,77326.5
1972,77600,77291.5
1973,56400,56196.2
1974,51000,50919.9
1975,50400,50410.1
1976,45500,45509.8
1977,21600,21605.3
1978,8000,8013.62
1979,8300,8315.87
1980,10800,10822.2
1981,10500,10526.1
1982,5400,5416.3
1983,2821,2831.72
1984,2752,2762.81
1985,800,804.666
1986,2200,2209.58
1987,4500,4517.61
1988,8540,8578
1989,11780,11842.8
1990,13090,13120.2
1991,6548.13,6565.22
1992,6537.64,6554.89
1993,2059.76,2068.99
1994,1841.23,1850.23
1995,5740.72,5757.74
1996,8378.43,8396.26
1997,9518.82,9538.63
1998,8907.93,8927.82
1999,10473.1,10495.5
2000,10145.5,10168.2
2001,10817.1,10840.5
2002,11733.8,11757.2
2003,10846.3,10845.2
2004,11639.9,11634.4
2005,11247.5,11239.4
2006,13595.3,13574.8
2007,12954.8,12914.2
2008,12461.2,12421.4
2009,12986.4,12925.4
2010,15615.7,15514.2
2011,14223.6,14126.8
2012,14916,14802.3
2013,13181.4,13108
2014,17712.1,17562.2
2015,18732.8,18581.8
2016,23034.5,22794
2017,23860.2,23673.6
2018,24737,24529.9
2019,25470.3,25313.5
2020,25191.2,25036.9
2021,28899.9,28793
2022,29484,29387.5
2023,30380.7,30342.9
