"weight","value","variable","model"
50,0.0909749,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.17"
1,25.9022,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.17"
1,28.0809,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.17"
1,47.5238,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.17"
1,64.1426,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.17"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.17"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.17"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.17"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.17"
1,-34.9071,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.17"
0.1,7.64808,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.17"
1,19.4568,"Priors SigmaR","2023-09-27-Mprofile_M=0.17"
1,0.148819,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.17"
1,0,"Priors M","2023-09-27-Mprofile_M=0.17"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.17"
1,103.516,"Maturity Likelihood","2023-09-27-Mprofile_M=0.17"
1,261.603,"Objective Function","2023-09-27-Mprofile_M=0.17"
1,165.741,"Data Likelihood","2023-09-27-Mprofile_M=0.17"
