"weight","value","variable","model"
50,1.05841,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.01"
1,14.265,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.01"
1,21.9437,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.01"
1,24.594,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.01"
1,77.6229,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.01"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.01"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.01"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.01"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.01"
1,88.4422,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.01"
0.1,3.70213,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.01"
1,0.0130829,"Priors SigmaR","2023-09-27-Mprofile_M=0.01"
1,3.73934,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.01"
1,0,"Priors M","2023-09-27-Mprofile_M=0.01"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.01"
1,103.516,"Maturity Likelihood","2023-09-27-Mprofile_M=0.01"
1,338.897,"Objective Function","2023-09-27-Mprofile_M=0.01"
1,139.484,"Data Likelihood","2023-09-27-Mprofile_M=0.01"
