"year","obs","pred"
1961,16000,16254
1962,65000,67835.4
1963,136300,144888
1964,243400,264102
1965,348600,374160
1966,200800,201486
1967,120000,120023
1968,100200,100882
1969,72600,72965.6
1970,44900,45035.1
1971,77500,77374.2
1972,77600,77029.4
1973,56400,55886.7
1974,51000,50766
1975,50400,50352.8
1976,45500,45086.9
1977,21600,21432.2
1978,8000,7986.11
1979,8300,8290.69
1980,10800,10789.2
1981,10500,10497.3
1982,5400,5402.56
1983,2821,2824.3
1984,2752,2755.15
1985,800,802.854
1986,2200,2203.26
1987,4500,4497.82
1988,8540,8513.68
1989,11780,11720
1990,13090,12836.4
1991,6548.13,6492.52
1992,6537.64,6488.85
1993,2059.76,2068.09
1994,1841.23,1849.08
1995,5740.72,5759.71
1996,8378.43,8447
1997,9518.82,9592.43
1998,8907.93,8961.44
1999,10473.1,10555.2
2000,10145.5,10205
2001,10817.1,10875.1
2002,11733.8,11769.7
2003,10846.3,10781.7
2004,11639.9,11552.5
2005,11247.5,11178
2006,13595.3,13484.6
2007,12954.8,12847.6
2008,12461.2,12371.5
2009,12986.4,12816.2
2010,15615.7,15378
2011,14223.6,13976.9
2012,14916,14662.5
2013,13181.4,13047.4
2014,17712.1,17475.3
2015,18732.8,18484.1
2016,23034.5,22684.3
2017,23860.2,23661.8
2018,24737,24527.6
2019,25470.3,25227.1
2020,25191.2,24961.2
2021,28899.9,28777.8
2022,29484,29348.2
2023,30380.7,30376.2
