"weight","value","variable","model"
50,0.0282854,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.25"
1,32.0737,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.25"
1,34.7623,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.25"
1,54.1304,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.25"
1,64.0131,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.25"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.25"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.25"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.25"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.25"
1,-67.8092,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.25"
0.1,7.47115,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.25"
1,30.881,"Priors SigmaR","2023-09-25-Mprofile_M=0.25"
1,0.379997,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.25"
1,0,"Priors M","2023-09-25-Mprofile_M=0.25"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.25"
1,103.567,"Maturity Likelihood","2023-09-25-Mprofile_M=0.25"
1,261.358,"Objective Function","2023-09-25-Mprofile_M=0.25"
1,185.008,"Data Likelihood","2023-09-25-Mprofile_M=0.25"
