"year","obs","pred"
1961,16000,16026.1
1962,65000,65059.8
1963,136300,136516
1964,243400,243987
1965,348600,348527
1966,200800,199908
1967,120000,119607
1968,100200,99981.9
1969,72600,72498.7
1970,44900,44875.7
1971,77500,77358.9
1972,77600,77427.4
1973,56400,56306.1
1974,51000,50941.5
1975,50400,50359.4
1976,45500,45471
1977,21600,21602.4
1978,8000,8015.33
1979,8300,8315.26
1980,10800,10815
1981,10500,10515.4
1982,5400,5414.07
1983,2821,2831.63
1984,2752,2762.48
1985,800,804.908
1986,2200,2209.26
1987,4500,4513.52
1988,8540,8558.88
1989,11780,11804.1
1990,13090,13109.1
1991,6548.13,6563.82
1992,6537.64,6553.81
1993,2059.76,2069.19
1994,1841.23,1850.34
1995,5740.72,5757.24
1996,8378.43,8390.59
1997,9518.82,9531.27
1998,8907.93,8920.96
1999,10473.1,10485.9
2000,10145.5,10158.9
2001,10817.1,10830.8
2002,11733.8,11747.4
2003,10846.3,10851
2004,11639.9,11642.6
2005,11247.5,11248.8
2006,13595.3,13590.2
2007,12954.8,12928.1
2008,12461.2,12436.2
2009,12986.4,12951.9
2010,15615.7,15558.7
2011,14223.6,14170.8
2012,14916,14853.4
2013,13181.4,13138.6
2014,17712.1,17623.8
2015,18732.8,18639.6
2016,23034.5,22886.2
2017,23860.2,23730.5
2018,24737,24593.8
2019,25470.3,25348.3
2020,25191.2,25072
2021,28899.9,28789.6
2022,29484,29382.3
2023,29939.5,29870.3
