Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom
1 Model_1_goa_pop_2023.dat 2024 40.916 48.8962 29.794 234.441 0.0713322 670.712
1 Model_1_goa_pop_2023.dat 2025 39.7631 47.5191 16.1515 230.617 0.0393019 657.956
1 Model_1_goa_pop_2023.dat 2026 39.5436 47.2564 12.88 230.972 0.0314182 657.628
1 Model_1_goa_pop_2023.dat 2027 39.4896 47.1914 31.522 229.171 0.0784089 661.387
1 Model_1_goa_pop_2023.dat 2028 38.0393 45.4596 38.0393 220.414 0.0990105 646.457
1 Model_1_goa_pop_2023.dat 2029 36.2078 43.2736 36.2078 209.583 0.0990105 628.394
1 Model_1_goa_pop_2023.dat 2030 34.6497 41.415 34.6497 199.769 0.0990105 610.097
1 Model_1_goa_pop_2023.dat 2031 33.3798 39.9007 33.3798 191.745 0.0990105 593.212
1 Model_1_goa_pop_2023.dat 2032 32.3421 38.6634 32.3421 185.807 0.0990105 576.85
1 Model_1_goa_pop_2023.dat 2033 31.4877 37.6437 31.4877 181.365 0.0990105 563.448
1 Model_1_goa_pop_2023.dat 2034 30.732 36.7409 30.732 177.519 0.0990105 556.17
1 Model_1_goa_pop_2023.dat 2035 30.0491 35.9242 30.0491 173.742 0.0990105 550.111
1 Model_1_goa_pop_2023.dat 2036 29.4486 35.2058 29.4486 169.99 0.0990105 544.931
1 Model_1_goa_pop_2023.dat 2037 28.9814 34.6474 28.9814 166.28 0.0990105 538.562
1 Model_1_goa_pop_2023.dat 2024 40.916 48.8962 29.794 234.441 0.0713322 670.712
1 Model_1_goa_pop_2023.dat 2025 39.7621 47.5179 16.1515 230.586 0.0393029 648.235
1 Model_1_goa_pop_2023.dat 2026 39.5223 47.2307 12.88 230.85 0.0314349 638.503
1 Model_1_goa_pop_2023.dat 2027 39.3726 47.0506 31.522 228.788 0.0786474 631.996
1 Model_1_goa_pop_2023.dat 2028 37.6784 45.0255 37.6784 219.442 0.0990105 607.775
1 Model_1_goa_pop_2023.dat 2029 35.4387 42.349 35.4387 207.45 0.0990105 581.299
1 Model_1_goa_pop_2023.dat 2030 33.3291 39.8287 33.3291 195.524 0.0990105 558.948
1 Model_1_goa_pop_2023.dat 2031 31.442 37.5756 31.442 184.197 0.0990105 541.218
1 Model_1_goa_pop_2023.dat 2032 29.826 35.6476 29.826 174.066 0.0990105 524.258
1 Model_1_goa_pop_2023.dat 2033 28.5266 34.0987 28.5266 165.607 0.0990105 509.126
1 Model_1_goa_pop_2023.dat 2034 27.5061 32.8829 27.5061 159.142 0.0990105 494.782
1 Model_1_goa_pop_2023.dat 2035 26.7117 31.9362 26.7117 154.622 0.0990105 488.145
1 Model_1_goa_pop_2023.dat 2036 26.0696 31.1698 26.0696 151.553 0.0990105 485.875
1 Model_1_goa_pop_2023.dat 2037 25.5671 30.5692 25.5671 149.129 0.0990105 486.14
1 Model_1_goa_pop_2023.dat 2024 40.916 48.8962 29.794 234.441 0.0713322 670.712
1 Model_1_goa_pop_2023.dat 2025 39.7629 47.5189 16.1515 230.611 0.0393021 656.171
1 Model_1_goa_pop_2023.dat 2026 39.5398 47.2518 12.88 230.952 0.0314212 654.919
1 Model_1_goa_pop_2023.dat 2027 39.4699 47.1678 31.522 229.113 0.0784489 658.069
1 Model_1_goa_pop_2023.dat 2028 37.984 45.3931 37.984 220.278 0.0990105 644.558
1 Model_1_goa_pop_2023.dat 2029 36.1051 43.1502 36.1051 209.291 0.0990105 622.116
1 Model_1_goa_pop_2023.dat 2030 34.4973 41.232 34.4973 199.213 0.0990105 602.904
1 Model_1_goa_pop_2023.dat 2031 33.1721 39.6517 33.1721 190.8 0.0990105 585.764
1 Model_1_goa_pop_2023.dat 2032 32.067 38.3337 32.067 184.424 0.0990105 570.087
1 Model_1_goa_pop_2023.dat 2033 31.1396 37.2268 31.1396 179.64 0.0990105 559.944
1 Model_1_goa_pop_2023.dat 2034 30.3303 36.2601 30.3303 175.605 0.0990105 554.822
1 Model_1_goa_pop_2023.dat 2035 29.6449 35.4409 29.6449 171.678 0.0990105 549.82
1 Model_1_goa_pop_2023.dat 2036 29.1082 34.7999 29.1082 167.778 0.0990105 546.679
1 Model_1_goa_pop_2023.dat 2037 28.7591 34.3837 28.7591 164.234 0.0990105 547.02
1 Model_1_goa_pop_2023.dat 2024 40.916 48.8962 29.794 234.441 0.0713322 670.712
1 Model_1_goa_pop_2023.dat 2025 39.7622 47.518 16.1515 230.589 0.0393028 649.383
1 Model_1_goa_pop_2023.dat 2026 39.5253 47.2343 12.88 230.877 0.0314326 644.918
1 Model_1_goa_pop_2023.dat 2027 39.3956 47.0782 31.522 228.888 0.0786005 643.997
1 Model_1_goa_pop_2023.dat 2028 37.7719 45.1379 37.7719 219.711 0.0990105 622.879
1 Model_1_goa_pop_2023.dat 2029 35.6793 42.6383 35.6793 208.081 0.0990105 599.082
1 Model_1_goa_pop_2023.dat 2030 33.7912 40.384 33.7912 196.848 0.0990105 576.458
1 Model_1_goa_pop_2023.dat 2031 32.158 38.4351 32.158 186.689 0.0990105 558.713
1 Model_1_goa_pop_2023.dat 2032 30.7672 36.7761 30.7672 178.202 0.0990105 543.176
1 Model_1_goa_pop_2023.dat 2033 29.6193 35.4068 29.6193 171.511 0.0990105 529.533
1 Model_1_goa_pop_2023.dat 2034 28.6717 34.2765 28.6717 166.261 0.0990105 514.724
1 Model_1_goa_pop_2023.dat 2035 27.897 33.352 27.897 161.871 0.0990105 503.195
1 Model_1_goa_pop_2023.dat 2036 27.24 32.5672 27.24 157.984 0.0990105 491.567
1 Model_1_goa_pop_2023.dat 2037 26.6685 31.8838 26.6685 154.464 0.0990105 480.3
1 Model_1_goa_pop_2023.dat 2024 40.916 48.8962 29.794 234.441 0.0713322 670.712
1 Model_1_goa_pop_2023.dat 2025 39.7622 47.518 16.1515 230.589 0.0393028 649.27
1 Model_1_goa_pop_2023.dat 2026 39.5244 47.2333 12.88 230.858 0.0314332 639.193
