"weight","value","variable","model"
50,0.105383,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.15"
1,24.0676,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.15"
1,27.4466,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.15"
1,37.1155,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.15"
1,65.475,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.15"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.15"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.15"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.15"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.15"
1,-31.2328,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.15"
0.1,7.7943,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.15"
1,18.3441,"Priors SigmaR","2023-09-25-Mprofile_M=0.15"
1,0.071519,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.15"
1,0,"Priors M","2023-09-25-Mprofile_M=0.15"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.15"
1,103.516,"Maturity Likelihood","2023-09-25-Mprofile_M=0.15"
1,252.703,"Objective Function","2023-09-25-Mprofile_M=0.15"
1,154.21,"Data Likelihood","2023-09-25-Mprofile_M=0.15"
