"age","fish1","fish2","fish3","fish4","srv1"
2,0.000185825,0.0000955409,0.0000052708,0.000424065,0.0458932
3,0.000932662,0.00070484,0.000478322,0.00445497,0.0663855
4,0.00466704,0.00499068,0.00532884,0.0164689,0.0951166
5,0.0230095,0.024047,0.0251531,0.0396987,0.134492
6,0.10578,0.0898711,0.074164,0.0757055,0.186804
7,0.372711,0.267324,0.16238,0.124484,0.253508
8,0.749017,0.518872,0.289516,0.184792,0.334247
9,0.93746,0.690196,0.444141,0.254532,0.426036
10,0.986892,0.796339,0.60744,0.331109,0.523236
11,0.997363,0.877069,0.758841,0.41173,0.61873
12,0.999474,0.939036,0.880997,0.493636,0.705877
13,0.999895,0.980019,0.962765,0.574271,0.780217
14,0.999979,0.998628,1,0.651388,0.840065
15,0.999996,0.995988,0.99469,0.723111,0.886043
16,0.999999,0.975296,0.953189,0.787961,0.920109
17,1,0.940911,0.88423,0.844854,0.944678
18,1,0.897507,0.797185,0.893074,0.962057
19,1,0.849432,0.700772,0.93224,0.97418
20,1,0.800325,0.602291,0.962264,0.982556
21,1,0.752952,0.507286,0.983302,0.988304
22,1,0.709199,0.41954,0.995711,0.992231
23,1,0.670173,0.341275,1,0.994905
24,1,0.636356,0.273456,0.996795,0.996722
25,1,0.607762,0.216112,0.986798,0.997955
26,1,0.584092,0.168643,0.970757,0.998791
27,1,0.564859,0.130073,0.949442,0.999357
28,1,0.549489,0.0992475,0.923618,0.99974
29,1,0.537384,0.0749729,0.894029,1
