"year","obs","pred"
1961,16000,16072.1
1962,65000,65716
1963,136300,138496
1964,243400,247889
1965,348600,350242
1966,200800,197731
1967,120000,118835
1968,100200,99823.6
1969,72600,72487.2
1970,44900,44870.4
1971,77500,77285.2
1972,77600,77215.5
1973,56400,56146.4
1974,51000,50918.9
1975,50400,50448
1976,45500,45537
1977,21600,21610.1
1978,8000,8013.29
1979,8300,8316.04
1980,10800,10823.8
1981,10500,10527.9
1982,5400,5416.5
1983,2821,2831.68
1984,2752,2762.82
1985,800,804.633
1986,2200,2209.62
1987,4500,4518.09
1988,8540,8580.28
1989,11780,11847.8
1990,13090,13136.4
1991,6548.13,6567.84
1992,6537.64,6556.07
1993,2059.76,2068.8
1994,1841.23,1849.99
1995,5740.72,5757.01
1996,8378.43,8395.89
1997,9518.82,9538.19
1998,8907.93,8927.51
1999,10473.1,10496.3
2000,10145.5,10169.4
2001,10817.1,10842.3
2002,11733.8,11759.1
2003,10846.3,10843.7
2004,11639.9,11632.8
2005,11247.5,11237.8
2006,13595.3,13572.3
2007,12954.8,12915.1
2008,12461.2,12423
2009,12986.4,12924.8
2010,15615.7,15513.7
2011,14223.6,14125.2
2012,14916,14801.8
2013,13181.4,13110
2014,17712.1,17566
2015,18732.8,18586.7
2016,23034.5,22802.8
2017,23860.2,23685.9
2018,24737,24544.8
2019,25470.3,25325.7
2020,25191.2,25049.6
2021,28899.9,28806.7
2022,29484,29398.5
2023,29939.5,29914
