Alt,Stock,Year,ABC,OFL,Catch,SSB,F,Total_Biom
1,Model_1_goa_pop_2023.dat,2023,40.9159999999998,48.89620000000057,29.76050000000027,234.4459999999978,0.0712497999999991,670.7120000000124
1,Model_1_goa_pop_2023.dat,2024,39.7648248999999,47.52114250000018,23.831300000000414,229.45537499999938,0.058417327100000006,650.6553349999991
1,Model_1_goa_pop_2023.dat,2025,38.961969700000004,46.561586599999984,38.961969700000004,223.58728299999962,0.09901050000000135,637.0242830000001
1,Model_1_goa_pop_2023.dat,2026,36.92617519999997,44.12912329999997,36.92617519999997,213.3578760000002,0.09901050000000135,609.2381419999997
1,Model_1_goa_pop_2023.dat,2027,34.98357880000001,41.80806760000001,34.98357880000001,203.34927799999997,0.09901050000000135,585.3428699999993
1,Model_1_goa_pop_2023.dat,2028,33.19875520000001,39.67600050000002,33.19875520000001,193.35310100000007,0.09901050000000135,565.1682750000007
1,Model_1_goa_pop_2023.dat,2029,31.598503399999984,37.76532620000001,31.598503399999984,183.72802599999997,0.09901050000000135,548.5317149999998
1,Model_1_goa_pop_2023.dat,2030,30.23535909999997,36.13869459999999,30.23535909999997,175.0777300000001,0.09901050000000135,534.9973710000008
1,Model_1_goa_pop_2023.dat,2031,29.10736620000003,34.793481700000044,29.10736620000003,167.92675200000016,0.09901050000000135,524.1347360000001
1,Model_1_goa_pop_2023.dat,2032,28.22091830000001,33.73680120000003,28.22091830000001,162.4038860000001,0.09901050000000135,515.5594510000002
1,Model_1_goa_pop_2023.dat,2033,27.537331999999978,32.92209209999995,27.537331999999978,158.32565099999997,0.09901050000000135,508.69367199999994
1,Model_1_goa_pop_2023.dat,2034,27.027547399999975,32.31183260000001,27.027547399999975,155.31231799999986,0.09898135150000134,503.14667900000046
1,Model_1_goa_pop_2023.dat,2035,26.62114930000001,31.81822149999997,26.62114930000001,153.02944100000008,0.09878050250000123,498.4418420000006
1,Model_1_goa_pop_2023.dat,2036,26.309440599999984,31.438479400000013,26.309440599999984,151.22544799999991,0.09845651140000118,494.4680550000006
2,Model_1_goa_pop_2023.dat,2023,40.9159999999998,48.89620000000057,29.76050000000027,234.4459999999978,0.0712497999999991,670.7120000000124
2,Model_1_goa_pop_2023.dat,2024,39.7648248999999,47.52114250000018,23.831300000000414,229.45537499999938,0.058417327100000006,650.6553349999991
