"age","fish1","fish2","fish3","fish4","srv1"
2,0.000458084,0.000236626,0.0000152416,0.00133335,0.109333
3,0.00193208,0.00149429,0.00106157,0.0132004,0.171962
4,0.00811049,0.00907514,0.010088,0.045837,0.259994
5,0.0333855,0.0377974,0.042412,0.103645,0.372803
6,0.127316,0.120411,0.114052,0.18527,0.501394
7,0.381277,0.305681,0.23119,0.285425,0.629802
8,0.722449,0.553097,0.385587,0.396848,0.742147
9,0.91663,0.735752,0.557538,0.51185,0.829623
10,0.978921,0.849177,0.722888,0.623379,0.891752
11,0.994928,0.925423,0.860029,0.725627,0.933054
12,0.998795,0.97432,0.954407,0.814289,0.959317
13,0.999714,0.997468,1,0.88658,0.975548
14,0.999932,0.996788,0.998416,0.941099,0.985403
15,0.999984,0.976057,0.956703,0.97761,0.991322
16,0.999996,0.9403,0.884833,0.996794,0.994855
17,0.999999,0.894858,0.793509,1,0.996954
18,1,0.844637,0.692585,0.989018,0.9982
19,1,0.793671,0.590162,0.965886,0.998937
20,1,0.744942,0.492237,0.932735,0.999374
21,1,0.700413,0.402751,0.891669,0.999632
22,1,0.661161,0.32387,0.844675,0.999785
23,1,0.627576,0.256377,0.793569,0.999875
24,1,0.599554,0.200064,0.739961,0.999928
25,1,0.576676,0.154088,0.685236,0.99996
26,1,0.558349,0.117258,0.630555,0.999979
27,1,0.543913,0.0882476,0.576864,0.99999
28,1,0.532712,0.0657372,0.524907,0.999996
29,1,0.524137,0.0485056,0.475248,1
